"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
213320,"Business",-118.29,34.05,2743,30320,2915,2363,2747,2271,0,5181,3,2741,4781,2228,2576,2514,50
111202,"Residential",-118.51,34.27,4795,270557,55116,38935,18149,34762,17586,190,41148,132,29056,421,34842,220,1414
227020,"Residential",-118.25,34.02,3545,80489,9880,3981,9504,4235,11011,100,13392,38,12103,3525,9004,3716,328
231210,"Residential",-118.3,34.01,3523,99880,15,18170,0,17505,447,17364,41,15395,4,14226,0,16713,354
208000,"Residential",-118.26,34.06,4253,113016,645,15669,669,19941,7,705,20032,605,17176,17512,55,20000,292
199120,"Business",-118.2,34.07,3561,22621,1888,1048,2813,1091,1586,994,1065,997,5167,1124,959,3889,26
124300,"Business",-118.36,34.18,4319,22838,1738,1985,2276,1854,2005,1934,1883,1615,1659,1887,2085,1917,138
240300,"Government",-118.29,33.95,5945,22669,3105,3642,2894,1635,1420,1340,963,625,1087,1581,1345,3032,26
134101,"Residential",-118.57,34.21,4645,213442,1633,42127,729,39627,714,33628,724,26484,500,29865,473,36938,1125
119000,"Residential",-118.42,34.24,6036,228366,44671,452,50092,258,39899,266,34049,89,25928,44,32339,279,1312
122000,"Business",-118.42,34.22,5077,90276,8247,8860,9058,8403,7774,7724,6599,6111,5712,7244,7146,7398,425
139802,"Residential",-118.56,34.15,3667,598831,4150,129723,5305,128755,1821,95552,967,54679,624,66846,2659,107750,1373
192510,"Business",-118.31,34.08,3959,18302,1671,1521,1565,1742,1502,1642,1440,1481,1283,1509,1423,1523,52
265301,"Business",-118.45,34.07,7424,130071,10597,11701,11483,10164,11351,11676,11057,10440,9880,10250,10514,10958,177
206040,"Residential",-118.22,34.05,3445,47860,0,8328,3,8912,63,7921,5,8058,3,6707,3,7857,203
137302,"Residential",-118.65,34.18,4392,433910,86972,704,95056,594,530,82956,274,44596,178,47397,353,74300,1575
297120,"Business",-118.28,33.73,3358,32243,2788,4228,1740,1554,3464,3920,2964,2539,2348,2226,2144,2328,69
296400,"Business",-118.31,33.74,6294,14853,1177,1275,1290,1203,1254,1160,1019,1113,1153,1347,1290,1572,58
134304,"Business",-118.61,34.21,2838,41784,4668,4795,4582,3955,3430,2902,2316,2149,2333,2951,3549,4154,21
609900,"Business",-118.3,33.74,1678,6483,651,553,593,467,372,360,931,511,472,497,512,564,21
