"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
124901,"Business",-118.4,34.17,6058,48098,4218,4293,4678,4241,3995,4021,3837,3287,3554,3609,3878,4487,70
124901,"Residential",-118.4,34.17,6058,232294,3106,38596,3044,38310,2774,38586,2812,31701,2470,31728,2701,36466,388
125100,"Business",-118.39,34.17,5581,12205,1225,1135,1118,987,1007,976,864,818,1013,1084,1039,939,70
125200,"Business",-118.38,34.17,3445,18021,1724,1410,1705,2077,1540,1524,1260,1204,1216,1301,1522,1538,75
125320,"Business",-118.37,34.17,4425,24342,2557,2277,2253,2235,2123,1989,2021,1986,1563,1609,1808,1921,105
125320,"Residential",-118.37,34.17,4425,90487,1261,15009,1314,14924,1468,14633,1180,12442,944,12601,1050,13661,180
125500,"Residential",-118.37,34.16,5948,271120,2464,48629,2741,46014,2922,46151,2863,35660,2448,35589,2239,43400,917
125600,"Business",-118.36,34.16,2379,4511,326,379,366,380,409,462,334,356,391,381,342,385,22
125600,"Residential",-118.36,34.16,2379,209380,571,43114,837,41888,1319,35728,667,23389,629,25139,801,35298,730
127101,"Business",-118.43,34.2,6969,14556,1558,1183,1311,1161,1380,1112,985,1124,1152,1140,1161,1289,41
127101,"Residential",-118.43,34.2,6969,234903,2274,41906,2055,42101,1114,36809,1055,31004,1162,34592,2232,38599,618
127102,"Business",-118.45,34.2,4940,30612,3233,2660,3144,2545,2878,2561,2234,1908,2433,2144,2233,2639,51
127102,"Residential",-118.45,34.2,4940,179415,6800,26013,6650,27080,5143,25410,4854,20313,4751,22466,4724,25211,351
127210,"Business",-118.46,34.21,5058,61802,5304,6424,5484,5023,5239,4286,4350,1,10093,4337,5949,5312,257
127210,"Residential",-118.46,34.21,5058,161029,4445,26791,5327,23832,5693,21675,4335,101,23356,18792,4152,22530,481
127220,"Business",-118.45,34.2,5020,21034,1583,1851,1954,2047,1865,2147,1377,1273,1585,2032,1658,1662,38
127300,"Business",-118.47,34.21,4975,61410,5175,6822,6766,6215,5647,4892,3812,338,7793,4216,4539,5195,102
127400,"Business",-118.48,34.21,4291,44338,3548,4104,4320,3778,336,7387,264,3047,6422,3210,4613,3309,301
127510,"Business",-118.49,34.2,4261,74138,6555,6673,7185,6690,562,11750,490,5348,9633,6128,6707,6417,324
127510,"Residential",-118.49,34.2,4261,165980,9676,22671,9918,22571,8818,19038,8196,1330,20267,14881,8010,20604,558
127520,"Business",-118.47,34.22,3534,21352,1713,1825,1983,2018,1816,1958,1749,1536,1560,1727,1695,1772,51
127601,"Residential",-118.48,34.2,5965,213213,31533,7711,32272,7819,28508,9529,25803,3196,27098,6845,25824,7075,515
127801,"Business",-118.46,34.2,7838,121699,11305,10852,11072,11519,10204,11045,10362,9141,7893,9396,9005,9905,126
127802,"Government",-118.46,34.19,6808,23107,2454,2869,2484,2483,1987,1333,967,620,943,1702,2259,3006,16
127910,"Residential",-118.44,34.2,4898,164574,26355,3562,26750,3916,24746,3353,23600,3079,20119,4075,21561,3458,312
128100,"Government",-118.44,34.19,8145,11923,1652,1298,1277,1348,1058,729,688,646,642,766,919,900,15
128302,"Business",-118.46,34.18,4763,72857,2210,2426,2206,22401,19435,4764,2784,2492,2647,3523,5852,2117,79
128400,"Business",-118.46,34.17,4101,78793,6984,7716,7572,7783,6682,6745,6611,5081,4931,5871,6066,6751,285
128500,"Residential",-118.44,34.17,5166,254565,47478,2006,47641,2222,40352,2087,40355,2081,29803,1746,36611,2183,992
128600,"Residential",-118.44,34.18,6168,323363,48689,14430,52695,15130,44920,13943,32532,12188,28695,11635,35469,13037,1050
128702,"Residential",-118.44,34.16,5330,279187,45988,3622,51587,3904,47032,3953,35464,4320,35026,3343,40561,4387,929
128910,"Business",-118.46,34.16,3775,34754,3221,3124,3442,3323,2914,2964,2759,2463,2488,2705,2688,2663,34
131100,"Residential",-118.51,34.21,3067,166065,20228,35894,422,32546,318,254,25611,76,16609,8882,12085,13140,1046
131400,"Residential",-118.53,34.21,5161,250463,5140,38553,5750,40482,5583,41027,4491,30137,3686,28290,4198,43126,896
131700,"Business",-118.55,34.2,7400,16464,1671,1510,1621,1377,1317,1280,842,1405,1151,1381,1337,1572,28
131900,"Residential",-118.51,34.2,3840,193047,37713,28430,11574,25133,12128,249,30040,97,20804,155,26327,397,1319
132700,"Business",-118.53,34.19,4844,21533,1753,1723,2114,1863,2141,1993,1786,1711,1473,1466,1745,1765,39
132900,"Business",-118.53,34.18,3481,26345,1138,5727,5225,7162,2378,864,1170,372,303,569,649,788,21
133000,"Business",-118.56,34.2,4011,15043,1371,1388,1449,1337,1211,1421,1087,1196,952,1113,1200,1318,24
134201,"Business",-118.59,34.21,3919,33280,2963,3089,3655,3145,2407,2975,2060,2889,1665,2097,3391,2944,115
134302,"Residential",-118.62,34.21,3618,213230,43774,479,46575,479,37472,144,28607,183,22526,214,32729,48,1252
134306,"Residential",-118.6,34.21,3458,79533,15708,1175,14055,1044,12166,1170,10145,901,10011,857,11334,967,209
134401,"Residential",-118.64,34.21,6225,546772,110608,311,123577,709,100213,4329,59413,2399,53989,2230,85074,3920,2062
134510,"Business",-118.6,34.2,6431,48060,4391,4065,4305,4286,4120,3835,3510,2030,5599,3789,3998,4132,202
134800,"Residential",-118.57,34.2,5531,250363,566,49819,2233,50732,541,38868,504,31003,790,32295,418,42594,1569
134901,"Residential",-118.56,34.19,2962,175461,678,34652,422,34991,535,29576,284,21036,469,21704,638,30476,894
134902,"Business",-118.58,34.19,7385,149988,12138,16308,14073,17987,13285,12578,10693,8912,8331,9991,11311,14381,151
135111,"Business",-118.61,34.19,3007,26999,2854,2538,2379,1975,2093,1428,3519,7,3439,1959,2192,2616,34
135112,"Business",-118.61,34.18,6011,204374,20814,22994,19945,21472,17315,13683,12692,7028,12408,23025,14914,18084,94
135203,"Residential",-118.65,34.19,6996,440752,87731,833,96683,484,534,82070,331,47539,8002,43423,11207,61915,2169
137000,"Residential",-118.64,34.17,4583,423029,52341,39271,55426,40045,631,76420,546,42325,513,45612,482,69417,1609
137102,"Business",-118.59,34.17,7366,265102,22547,24253,29991,20616,16249,14226,39744,15381,14831,20077,22832,24355,92
137402,"Business",-118.63,34.16,5404,57687,4708,5249,5115,5489,3583,10109,3328,3142,2688,4236,4601,5439,66
137402,"Residential",-118.63,34.16,5404,435004,1160,91249,1727,91724,10621,72950,1808,42283,1843,47121,2034,70484,1698
137501,"Business",-118.58,34.16,3723,82094,7909,7784,7638,6742,7313,7061,6824,5037,5774,6209,6680,7123,119
138000,"Residential",-118.59,34.15,4299,380605,322,80241,613,80631,197,67047,157,43655,153,43198,202,64189,1801
139200,"Residential",-118.53,34.18,4823,237685,33004,11964,33169,11477,31131,10402,26059,9258,18904,17788,22551,11978,1022
139301,"Residential",-118.56,34.18,4152,377684,228,82703,510,81484,428,59676,289,39998,284,42890,1407,67787,1313
139302,"Residential",-118.54,34.18,4338,185955,5702,18559,6637,22718,6522,44306,8256,20333,6767,18640,7158,20357,53
