"caseid","age","gender","fulltime_emp","phys_challenge","sleep","homework","socializing"
"20160806161658",26,"Male","Full time","No difficulty",608,0,270
"20160706160601",85,"Female","No answer","No difficulty",540,0,705
"20160907160747",73,"Female","No answer","No difficulty",600,0,460
"20160201162302",60,"Male","Full time","No difficulty",610,0,255
"20160403161549",62,"Female","No answer","No difficulty",510,0,495
"20160605160893",54,"Female","Part time","No difficulty",425,0,180
"20160201161854",60,"Female","Full time","No difficulty",351,0,30
"20160112151942",44,"Female","Full time","No difficulty",383,0,142
"20161009161835",28,"Female","Full time","No difficulty",730,0,570
"20161009161503",39,"Male","Full time","No difficulty",475,0,300
"20160808160033",16,"Female","No answer","No difficulty",525,0,555
"20160112152264",68,"Female","Full time","No difficulty",505,0,120
"20160705161210",37,"Male","Full time","No difficulty",525,0,398
"20161010161723",60,"Male","No answer","No difficulty",720,0,420
"20161009160503",33,"Male","Full time","No difficulty",480,0,358
"20160605162306",16,"Male","No answer","No difficulty",540,0,623
"20161110162109",71,"Female","No answer","No difficulty",390,0,270
"20161211161017",29,"Male","Full time","No difficulty",540,0,210
"20160112151174",26,"Male","Full time","Has difficulty",648,0,148
"20160202161818",34,"Male","Full time","No difficulty",660,0,135
"20160503162348",45,"Female","Full time","No difficulty",431,0,135
"20160908160944",55,"Female","No answer","No difficulty",600,0,690
"20160504160726",19,"Male","Full time","No difficulty",613,0,50
"20160303161753",56,"Female","No answer","Has difficulty",825,0,165
"20160604161198",26,"Male","Full time","No difficulty",569,0,165
"20160706161525",55,"Female","Part time","No difficulty",540,0,190
"20160112152104",29,"Male","Full time","No difficulty",420,0,0
"20160112152256",48,"Male","Full time","No difficulty",414,0,180
"20160402162462",80,"Female","No answer","No difficulty",600,0,485
"20160705160696",39,"Female","Full time","No difficulty",630,0,0
"20160201160036",33,"Female","No answer","No difficulty",570,0,155
"20160807160585",30,"Female","Part time","No difficulty",645,0,125
"20161210162125",55,"Male","Full time","No difficulty",720,0,600
"20160908160062",42,"Male","Full time","No difficulty",489,0,95
"20160807161835",29,"Male","Full time","No difficulty",540,0,430
"20160403161478",62,"Male","Part time","No difficulty",655,0,345
"20161211162282",31,"Male","Full time","No difficulty",305,0,581
"20160404161894",53,"Male","Full time","No difficulty",390,0,535
"20160504160811",51,"Female","Part time","No difficulty",170,0,345
"20161110162322",30,"Female","Part time","No difficulty",700,0,240
"20160404161109",50,"Female","Full time","No difficulty",465,0,110
"20160111152397",42,"Female","No answer","Has difficulty",630,0,585
"20161110161716",40,"Male","Full time","No difficulty",240,0,770
"20160707161612",56,"Female","Full time","No difficulty",423,0,350
"20161110161380",46,"Male","Full time","No difficulty",590,0,95
"20160605161700",75,"Female","No answer","No difficulty",525,0,375
"20160605161549",64,"Female","No answer","No difficulty",435,0,615
"20160604161987",42,"Male","Full time","No difficulty",490,0,85
"20160908160934",27,"Male","Full time","No difficulty",270,0,372
"20161110160642",70,"Male","No answer","No difficulty",600,0,130
"20160505161409",51,"Male","Full time","No difficulty",420,0,0
"20161110161593",56,"Female","Full time","No difficulty",400,0,210
"20160907162101",37,"Female","Full time","Has difficulty",520,0,219
"20160806161685",61,"Female","Full time","No difficulty",840,0,345
"20160101161376",43,"Female","Full time","No difficulty",510,0,510
"20160707162369",47,"Male","Full time","No difficulty",365,0,0
"20160302161108",42,"Male","Full time","No difficulty",465,0,420
"20160605161217",85,"Female","No answer","No difficulty",550,0,370
"20160706161763",44,"Female","Full time","No difficulty",535,0,300
"20161009162158",57,"Female","No answer","No difficulty",450,0,78
"20161110162099",72,"Female","No answer","No difficulty",240,0,0
"20161110161644",30,"Male","Full time","No difficulty",630,0,205
"20160705160540",53,"Female","Part time","No difficulty",537,0,210
"20160403161004",58,"Male","Full time","No difficulty",540,0,210
"20160707161384",72,"Male","Part time","No difficulty",607,0,155
"20160112151150",59,"Female","Full time","No difficulty",660,0,685
"20160403162355",41,"Female","No answer","No difficulty",480,0,165
"20160302160117",85,"Female","No answer","Has difficulty",630,0,385
"20161010162352",32,"Female","No answer","No difficulty",570,0,90
"20160201161096",30,"Male","Full time","No difficulty",380,0,345
"20160504160631",61,"Male","Full time","No difficulty",480,0,220
"20160908161112",23,"Male","Full time","No difficulty",500,0,295
"20161110161490",16,"Male","No answer","No difficulty",610,0,60
"20160605160825",78,"Female","No answer","Has difficulty",555,0,455
"20161110162256",80,"Male","No answer","No difficulty",510,0,750
"20161211161012",40,"Female","Part time","No difficulty",510,0,120
"20160111150530",47,"Male","Full time","No difficulty",525,0,135
"20161211160077",24,"Female","Full time","No difficulty",530,0,71
"20160201160871",62,"Male","No answer","Has difficulty",570,0,340
"20161211161924",49,"Male","Full time","No difficulty",570,0,278
"20160201160872",68,"Female","No answer","No difficulty",560,0,324
"20160705161638",34,"Male","Full time","No difficulty",480,0,60
"20161211161428",74,"Female","No answer","No difficulty",480,0,83
"20160201160003",38,"Female","Full time","No difficulty",764,0,382
"20160807160826",44,"Female","No answer","No difficulty",525,0,40
"20160605161561",27,"Male","Full time","No difficulty",690,0,285
"20160503160847",53,"Female","Full time","No difficulty",420,0,280
"20160705160662",65,"Female","No answer","Has difficulty",660,0,300
"20161009161000",60,"Male","No answer","Has difficulty",720,0,480
"20161210161097",52,"Female","Full time","No difficulty",600,0,60
"20160301161880",37,"Female","Part time","No difficulty",510,0,374
"20160201160060",33,"Male","No answer","No difficulty",450,0,565
"20160807162196",42,"Male","Full time","No difficulty",685,0,300
"20160302162459",66,"Female","No answer","Has difficulty",840,0,540
"20161110162309",49,"Female","Full time","No difficulty",510,0,15
"20160707161097",35,"Male","Full time","No difficulty",500,0,65
"20160111150987",28,"Female","Full time","No difficulty",565,0,120
"20160301160886",16,"Female","Part time","No difficulty",665,180,405
"20160201162195",27,"Female","Part time","No difficulty",550,0,120
"20160201160786",59,"Female","Full time","No difficulty",615,0,180
"20160504160958",32,"Female","Full time","No difficulty",490,0,60
"20161211162346",30,"Male","Full time","No difficulty",510,0,35
"20160707161767",59,"Female","No answer","No difficulty",510,0,210
"20160505160866",37,"Male","Full time","No difficulty",461,0,225
"20161109161245",18,"Female","No answer","No difficulty",850,120,60
"20160807162308",63,"Male","Full time","No difficulty",648,0,570
"20160706162236",62,"Female","No answer","No difficulty",580,0,573
"20160202161254",72,"Female","No answer","No difficulty",470,0,604
"20161010161659",16,"Male","No answer","No difficulty",900,0,505
"20160201161894",62,"Male","Full time","No difficulty",445,0,73
"20160402161986",43,"Female","Full time","No difficulty",442,0,230
"20160403160906",49,"Female","Full time","No difficulty",460,0,120
"20160302161774",85,"Male","No answer","Has difficulty",615,0,450
"20160302160794",80,"Female","No answer","No difficulty",540,0,260
"20160806162424",61,"Female","No answer","Has difficulty",270,0,390
"20160101161638",61,"Female","Full time","Has difficulty",765,0,360
"20160201160606",85,"Male","No answer","Has difficulty",632,0,738
"20160112151215",32,"Male","Full time","No difficulty",620,0,85
"20161010161884",39,"Male","Full time","No difficulty",580,0,15
"20160101160658",25,"Female","Part time","No difficulty",540,0,120
"20161009162490",36,"Male","Full time","No difficulty",591,0,4
"20160201160570",79,"Female","No answer","No difficulty",555,0,348
"20160202161081",75,"Male","Part time","No difficulty",465,0,405
"20160807162523",39,"Female","No answer","No difficulty",630,0,315
"20160505161400",66,"Female","No answer","No difficulty",600,0,330
"20161110161975",63,"Female","No answer","Has difficulty",749,0,361
"20160504161896",52,"Male","No answer","No difficulty",540,0,390
"20160705160531",31,"Female","Full time","No difficulty",300,0,286
"20160403162475",17,"Female","No answer","No difficulty",720,0,629
"20160302161761",33,"Female","Full time","No difficulty",693,0,90
