"caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"20161211162058","Kentucky",26,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$25,000 to $29,999",2,0,"No","No difficulty",120,0,0,0,0,120,60,0,0,0,600,0,0,0,0,0,540,540,0,0,60,0,0,120
"20160403160893","Texas",30,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$40,000 to $49,999",6,4,"Yes","No difficulty",343,0,0,0,0,82,20,0,0,0,2,0,0,0,290,94,539,481,58,0,20,0,0,82
"20160112151558","North Carolina",43,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, state","No answer","Full time",40,"$75,000 to $99,999",3,1,"Yes","No difficulty",34,0,0,0,0,180,45,0,0,0,60,0,0,0,0,170,951,780,171,0,45,0,0,180
"20160403162509","California",37,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$50,000 to $59,999",3,1,"Yes","No difficulty",10,0,0,0,0,125,35,0,0,0,45,0,0,0,355,170,600,600,0,0,35,0,0,125
"20160112152128","Ohio",15,"Male","Native, Born in USA","Never married","No answer","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$20,000 to $24,999",3,1,"Yes","No difficulty",0,0,0,0,0,435,90,0,0,0,0,0,0,0,0,0,915,915,0,0,90,0,0,435
"20160907161664","Colorado",34,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$30,000 to $34,999",4,2,"Yes","No difficulty",82,0,0,0,0,594,80,0,0,0,9,0,0,0,115,5,450,415,35,0,80,0,0,594
"20160705161533","Massachusetts",51,"Female","Native, Born in USA","Never married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$7,500 to $9,999",1,0,"No","Has difficulty",225,0,0,0,0,300,60,0,0,0,0,0,0,30,0,20,805,665,140,0,60,0,0,300
"20160807161987","Massachusetts",78,"Female","Native, Born in USA","Divored","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$30,000 to $34,999",1,0,"No","Has difficulty",0,0,0,0,0,570,25,0,0,0,0,0,0,0,0,340,475,460,15,0,25,0,0,570
"20160112152023","Georgia",43,"Female","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$30,000 to $34,999",3,1,"Yes","No difficulty",22,0,0,105,0,289,165,0,0,0,20,0,0,201,30,63,545,435,110,0,165,0,0,289
"20160111151131","Tennessee",44,"Female","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$15,000 to $19,999",4,2,"Yes","No difficulty",135,0,0,0,0,435,110,0,0,0,220,0,0,0,0,0,540,510,30,0,110,0,0,435
"20160302161357","Virginia",39,"Female","Native, Born in USA","Separated","Non-Veteran","No","Employed","No","Government, federal","No answer","Full time",40,"$75,000 to $99,999",3,2,"Yes","No difficulty",125,0,0,0,0,0,45,0,0,0,0,0,510,0,140,45,575,500,75,0,45,0,0,0
"20160404161110","Wisconsin",45,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","Yes","Private, nonprofit","No answer","Full time",59,"$100,000 to $149,999",3,1,"Yes","No difficulty",70,0,25,0,0,165,25,0,0,0,10,0,530,0,77,55,483,400,83,0,25,0,0,165
"20160604162139","Florida",41,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",60,"$150,000 and over",5,3,"Yes","No difficulty",86,0,0,0,120,85,190,0,0,0,0,0,584,0,0,0,375,335,40,0,190,0,0,85
