"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
491,2015,"USA","OH","Male",15,"Left-Handed",152,28.5,187,1,"Bus",30,0.3,46,"Basketball",0,10,238,264,1000,1000,29,"Left foot",100,100,"Same length","April","Winter","No","No","Meat","Soft drink (caffeinated)","Mathematics and statistics",6,NA,3,"Yes - other","Text messaging",200,250,24,1,2,22,0,50,0,100,0,1,0,0,"A lot","Some college","Rap/Hip hop","Fly","Rich","Sports person","Arts, culture, sports"
492,2013,"USA","RI","Male",14,"Left-Handed",165,27.94,163,1,"Bus",20,0.34,43,"Swimming",600,600,600,600,1000,1000,25,"Right foot",78,85,"Ring finger","March","Summer","No","No","Pizza/Pasta","Water","History",8,10,6,"Yes - broadband connection","Text messaging",300,300,10,1,5,30,20,2,0,3,2,4,0,5,"None","Other","Country","Freeze time","Rich","Doctor or nurse","Health"
493,2010,"USA","DC","Male",12,"Ambidextrous",144,22,146,1,"Skateboard/Scooter/Rollerblade",20,0.37,50,"Soccer",866,861,872,NA,1000,1000,22,"Same length",60,75,"Ring finger","March","Summer","Yes","No","Rice/Noodle dishes","Sports drink",NA,7,9,4,"Yes - other","Text messaging",14,16,6,3,3,5,2,3,0,5,1,4,5,5,"Some","Other","Rap/Hip hop","Freeze time","Rich","Friend","Arts, culture, sports"
494,2014,"USA","PA","Male",17,"Left-Handed",183,28,186,1,"Car",8,0.74,41,"Basketball",500,300,650,600,750,900,26,"Right foot",70,70,"Same length","June","Summer","No","No","Pizza/Pasta","Milk","History",7,8,6,"Yes - broadband connection","Text messaging",155,150,7,1,12,6,11,2,28,30,1,21,12,1,"Some","Graduate degree","Rap/Hip hop","Telepathy","Happy","Sports person","Health"
495,2010,"USA","DC","Male",12,"Left-Handed",157,27,164,1,"Car",7,0.3,37,"Football (American)",830,780,890,NA,999,999,19,"Right foot",73,80,"Ring finger","June","Spring","Yes","No","Other","Water","History",8,NA,4,"Yes - broadband connection","In person",0,0,11,2,3,5,8,4,3,0,2,6,5,1,"A lot","Graduate degree","Rap/Hip hop","Freeze time","Rich","Business person","International aid"
496,2015,"USA","IL","Male",17,"Right-Handed",175,26,175,1,"Car",12,0.34,44,"Golf",500,700,600,500,1000,1000,26,"Same length",90,85,"Index finger","March","Summer","Yes","No","No favorite","Milk","Physical education",8,8,4,"Yes - broadband connection","Text messaging",20,20,2,0,4,2,2,20,1,5,40,5,2,1,"Some","Graduate degree","Techno/Electronic","Telepathy","Happy","Relative","Arts, culture, sports"
497,2012,"USA","NE","Male",11,"Right-Handed",153,24,152,1,"Car",5,0.38,76,"Football (American)",850,850,500,800,200,200,24,"Same length",85,95,"Ring finger","March","Summer","No","No","Meat","Milk","Computers and technology",10,8,4,"Yes - broadband connection","Text messaging",2,3,2,0,3,4,2,0,0,1,0,2,0,3,"Very little","Some college","Country","Freeze time","Rich","Other","Wildlife, animals"
498,2014,"USA","VA","Female",17,"Right-Handed",170,23,156,1,"Car",27,0.38,56,"Running/Jogging",847,900,1000,1000,900,999,19,"Right foot",75,70,"Index finger","May","Fall","No","No","Pizza/Pasta","Water","English",7,10,4,"Yes - other","In person",25,25,5,1,7,5,10,0,4,5,5,3,0,4,"Some","Graduate degree","Rhythm and blues (R&B)","Telepathy","Happy","Friend","International aid"
499,2015,"USA","CA","Male",12,"Right-Handed",161,26,150,2,"Car",5,0.69,44,"Basketball",930,904,1000,1000,0,0,26,"Same length",80,70,"Index finger","June","Summer","No","No","Meat","Water","Mathematics and statistics",8,6,4,"Yes - other","Text messaging",4,4,3,0,1,3,2,3,1,0,0,1,0,0,"Some","Undergraduate degree","Rap/Hip hop","Fly","Happy","Sports person","Wildlife, animals"
500,2015,"USA","CO","Female",16,"Right-Handed",169,22,169,2,"Car",8,0.66,60,"Other",369,824,134,481,786,917,23,"Left foot",78,66,"Index finger","November","Summer","No","No","Desserts","Water","Mathematics and statistics",8,10,4,"Yes - broadband connection","Text messaging",20,20,20,1,10,5,8,0,3,1,15,10,25,5,"A lot","Undergraduate degree","Pop","Fly","Happy","Business person","Wildlife, animals"
