"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
219,2010,"USA","DC","Female",16,"Right-Handed",175,27,183,1,"Bus",15,0.56,46,"Dancing",503,1000,1000,NA,401,1000,25,"Right foot",102,102,"Same length","November","Summer","No","No","Seafood","Water","Physical education",8,10,5,"Yes - dial-up connection","Text messaging",30,30,8,15,10,5,0,0,5,15,5,6,0,8,"Very little","Graduate degree","Rap/Hip hop","Telepathy","Healthy","Relative","Health"
220,2015,"USA","DE","Male",17,"Right-Handed",183,20.67,183,1,"Car",15,0.6,36,"Swimming",1000,500,300,12,1000,1000,27,"Left foot",NA,NA,NA,"March","Winter","Yes","No","Seafood","Water","Mathematics and statistics",6,7,5,"Yes - broadband connection","Telephone",50,75,15,2,14,8,2,0,3,2,0,0,30,30,"Some","Other","Country","Telepathy","Happy","Relative","Other"
221,2010,"USA","SC","Female",17,"Right-Handed",169,23,160,1,"Car",10,0.55,60,"Tennis",850,950,723,NA,250,200,24,"Left foot",73,69,"Index finger","December","Summer","No","No","Pizza/Pasta","Water","History",7,8,4,"Yes - broadband connection","Cell phone",10,12,8,2,14,15,7,0,1,2,4,3,10,3,"A lot","Graduate degree","Country","Freeze time","Happy","Relative","Religious"
222,2010,"USA","GA","Female",17,"Right-Handed",166,22,152,2,"Car",30,0.37,41,"Dancing",866,209,556,NA,1000,1000,22,"Right foot",75,68,"Index finger","January","Fall","Yes","No","Desserts","Water","Languages",7,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",9,16,48,3,39,6,1,0,5,8,49,0,0,1,"A lot","Graduate degree","Pop","Freeze time","Happy","Relative","Education/Youth development"
223,2012,"USA","NE","Female",16,"Right-Handed",165,23,157,3,"Car",5,0.41,47,"Other",5,988,988,988,700,700,24,"Left foot",85,67,"Index finger","October","Summer","Yes","Yes","Pizza/Pasta","Soft drink (non-caffeinated)","Art",6,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,10,20,1,10,20,1,1,20,20,20,30,0,5,"A lot","Graduate degree","Pop","Telepathy","Happy","Musician or singer","Wildlife, animals"
224,2014,"USA","CA","Male",17,"Right-Handed",178,26,160,2,"Car",5,0.76,41,"Tennis",100,100,100,100,500,500,27,"Left foot",72,78,"Ring finger","April","Summer","Yes","No","Meat","Water","Art",6,12,5,"Yes - broadband connection","Text messaging",20,10,4,1,4,6,10,40,5,3,50,2,8,2,"Very little","Graduate degree","Other","Freeze time","Happy","Business person","International aid"
225,2015,"USA","OH","Male",14,"Ambidextrous",166,27,172,1,"Car",8,0.37,54,"Hockey (Ice)",450,500,500,450,700,950,27,"Right foot",95,95,"Same length","August","Summer","Yes","No","Meat","Milk","Physical education",8,6,3,"Yes - broadband connection","Text messaging",100,88,25,1,5,4,5,3,5,9,6,6,1,2,"Some","Graduate degree","Rap/Hip hop","Super strength","Rich","Religious figure","Health"
226,2015,"USA","CA","Male",13,"Right-Handed",180,29,173,1,"Car",22,0.34,35,"Swimming",389,456,543,890,765,654,29,"Same length",85,95,"Ring finger","October","Summer","No","No","Other","Milk","Science",9,7,4,"Yes - broadband connection","Internet chat or instant messaging",15,100,10,1,14,4,7,8,1,2,14,6,0,1,"Some","Graduate degree","Rap/Hip hop","Fly","Famous","Religious figure","Arts, culture, sports"
227,2014,"USA","CA","Female",17,"Right-Handed",158,25.5,158,1,"Car",8,0.89,48,"Basketball",400,800,800,800,500,900,26,"Left foot",90,76,"Index finger","May","Spring","No","No","Meat","Water","Art",8,10,4,"Yes - broadband connection","Text messaging",100,15,2,0,4,3,0,4,0,14,1,1,0,1,"Some","Graduate degree","Rhythm and blues (R&B)","Freeze time","Happy","Relative","Health"
228,2011,"USA","AZ","Female",15,"Right-Handed",157,23,156,1,"Bus",36,0.32,40,"Baseball/Softball",37,37,37,NA,684,770,23,"Same length",91,98,"Ring finger","December","Winter","Yes","No","Meat","Water","Art",7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,2,5,10,3,1,0,5,21,1,38,5,0,3,"Some","Some college","Pop","Freeze time","Happy","Other","Other"
229,2014,"USA","CA","Female",17,"Right-Handed",166,25,167,2,"Car",30,0.48,74,"Dancing",422,615,765,406,909,914,25,"Same length",70,67,"Index finger","January","Summer","Yes","No","Pizza/Pasta","Water","Music",6,10,4,"Yes - broadband connection","Text messaging",30,25,20,2,30,10,10,0,18,14,20,7,0,1,"A lot","Graduate degree","Pop","Fly","Happy","Musician or singer","Arts, culture, sports"
230,2013,"USA","SC","Male",16,"Left-Handed",173,23,176,1,"Car",5,0.43,35,"Football (American)",0,0,0,0,700,600,24,"Left foot",90,87,"Index finger","October","Winter","No","No","Meat","Soft drink (caffeinated)","History",8,10,4,"Yes - broadband connection","Text messaging",5,3,3,1,6,1,0,3,1,2,4,7,0,5,"A lot","Graduate degree","Rap/Hip hop","Freeze time","Rich","Musician or singer","Religious"
231,2013,"USA","CA","Female",15,"Right-Handed",154,22,155,1,"Car",30,0.34,39,"Dancing",700,610,600,800,1000,999,22,"Same length",65,68,"Ring finger","May","Spring","Yes","No","Fruit","Milk","Computers and technology",7,8.5,3,"Yes - other","E-mail",0,3,3,1,26,2,8,1,0,1,20,5,0,1,"A lot","Graduate degree","Pop","Freeze time","Happy","Other","Health"
232,2014,"USA","NC","Female",16,"Right-Handed",169,24,177,2,"Car",22,0.34,32,"Running/Jogging",610,920,390,305,840,850,25,"Left foot",80,84,"Ring finger","October","Summer","No","No","Pizza/Pasta","Water","Physical education",8,9,3,"Yes - broadband connection","In person",40,45,15,1,12,10,24,0,1,1,4,1,0,2,"A lot","Graduate degree","Pop","Fly","Rich","Relative","International aid"
233,2015,"USA","NY","Male",17,"Right-Handed",170,26,177,3,"Rail (Train/Tram/Subway)",30,0.79,45,"Swimming",500,700,500,600,1000,1000,26,"Same length",100,103,"Ring finger","June","Fall","Yes","No","Meat","Water","Science",7,9,5,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",10,10,5,1,1,1,8,3,24,6,24,5,16,2,"None","Graduate degree","Country","Telepathy","Healthy","Doctor or nurse","Health"
234,2014,"USA","MA","Female",11,"Right-Handed",150,24,147,1,"Bus",15,0.79,35,"Gymnastics",1000,1000,600,430,230,130,23,"Right foot",70,70,"Same length","November","Fall","No","No","No favorite","Water","Mathematics and statistics",8,8,3,"Yes - broadband connection","Text messaging",7,8,50,1,3,15,20,3,2,1,2,5,1,1,"Very little","Graduate degree","Country","Fly","Happy","Relative","Health"
235,2012,"USA","SC","Female",17,"Right-Handed",160,23,163,1,"Car",45,0.39,40,"Running/Jogging",433,364,561,829,107,829,23,"Same length",87,91,"Ring finger","May","Spring","No","No","Pizza/Pasta","Water","Mathematics and statistics",7,9,4,"Yes - broadband connection","In person",30,20,15,2,7,10,15,0,10,5,10,15,0,2,"Some","Undergraduate degree","Pop","Fly","Happy","Relative","Environment"
236,2011,"USA","DC","Male",11,"Right-Handed",160,25,157,1,"Skateboard/Scooter/Rollerblade",20,0.47,48,"Skateboarding/Rollerblading",950,800,900,NA,1000,1000,24,"Right foot",70,75,"Ring finger","July","Summer","Yes","No","Poultry","Juice","Mathematics and statistics",9,6,5,"Yes - broadband connection","Other",6,9,9,1,3,4,8,4,0,2,1,3,0,1,"Some","Graduate degree","Rap/Hip hop","Fly","Healthy","Sports person","Wildlife, animals"
237,2012,"USA","OR","Female",17,"Right-Handed",170,28,158,2,"Car",6,0.35,41,"Walking/Hiking",1000,900,600,800,200,600,28,"Same length",70,80,"Ring finger","October","Summer","Yes","No","Meat","Water","Mathematics and statistics",6,7,7,"Yes - other","Text messaging",150,150,4,1,8,2,1,0,20,35,5,1,36,30,"A lot","Graduate degree","Other","Freeze time","Happy","Business person","International aid"
238,2015,"USA","NY","Male",11,"Right-Handed",142,22,153,1,"Car",55,0.43,43,"Football (American)",551,251,872,471,294,299,23,"Left foot",70,60,"Index finger","August","Fall","Yes","No","Desserts","Sports drink","Mathematics and statistics",8,9,6,"Yes - other","In person",0,3,6,1,2,3,8,6,1,1,1,2,1,3,"Very little","Graduate degree","Pop","Freeze time","Healthy","Sports person","Arts, culture, sports"
239,2013,"USA","SC","Male",16,"Right-Handed",191,29,187,1,"Car",10,0.82,62,"Basketball",300,300,300,900,500,900,29,"Same length",110,100,"Index finger","January","Summer","Yes","No","Seafood","Tea","Physical education",7,5,4,"Yes - broadband connection","In person",30,35,62,1,5,72,10,4,1,3,2,10,0,2,"Some","Graduate degree","Country","Freeze time","Rich","Relative","Wildlife, animals"
240,2015,"USA","CO","Male",14,"Left-Handed",175,28,170,1,"Car",5,0.29,33,"Table Tennis",877,293,503,365,1000,1000,28,"Same length",80,90,"Ring finger","March","Spring","No","No","Seafood","Water","Mathematics and statistics",9,12,5,"Yes - broadband connection","In person",0,0,2,1,5,30,7,10,5,2,30,7,0,1,"Some","Graduate degree","Pop","Invisibility","Healthy","Actor","Health"
241,2011,"USA","GA","Male",11,"Right-Handed",147,23,149,1,"Bus",20,0.42,73,"Cycling",914,995,995,NA,1000,16,24,"Left foot",82,86,"Ring finger","December","Winter","No","No","Pizza/Pasta","Milk","Music",9,11,4,"Yes - broadband connection","Other",0,0,4,1,1,3,2,2,0,1,2,1,1,1,"Very little","Graduate degree","Pop","Fly","Rich","Teacher","International aid"
242,2014,"USA","VA","Male",16,"Right-Handed",180,25,180,1,NA,20,0.36,47,"Other",1000,500,500,500,1000,1000,25,"Same length",NA,NA,NA,"November","Fall","Yes","No","Pizza/Pasta","Soft drink (caffeinated)","English",7,8,5,"Yes - other","Text messaging",200,200,4,2,5,6,0,10,20,80,90,50,12,0,"Some","Graduate degree","Pop","Fly","Happy","Musician or singer","Education/Youth development"
243,2013,"USA","MI","Male",17,"Right-Handed",175,25.4,177,1,"Car",18,0.28,39,"Hockey (Ice)",100,100,100,100,1000,1000,25,"Same length",64,62,"Index finger","May","Summer","No","No","Meat","Milk","Physical education",6,8,5,"Yes - broadband connection","Text messaging",50,60,10,3,1,25,15,0,10,10,10,20,0,2,"Some","Graduate degree","Country","Fly","Famous","Sports person","Health"
244,2012,"USA","CA","Male",15,"Right-Handed",166,26,173,1,"Car",15,0.55,38,"Swimming",800,600,200,600,936,900,27,"Left foot",80,82,"Ring finger","February","Summer","Yes","No","Meat","Milk","Science",7,8,4,"Yes - broadband connection","In person",1,2,10,1,1,39,1,10,0,1,20,10,0,4,"A lot","Graduate degree","Punk rock","Fly","Happy","Relative","Wildlife, animals"
245,2013,"USA","SC","Female",17,"Right-Handed",168,22,167,1,"Car",5,0.35,35,"Walking/Hiking",727,706,872,1000,401,642,23,"Left foot",82,80,"Index finger","October","Fall","No","No","Poultry","Tea","History",7,7,5,"Yes - broadband connection","Text messaging",300,300,20,5,10,35,10,0,40,84,15,30,10,5,"Some","Graduate degree","Country","Super strength","Happy","Relative","Arts, culture, sports"
246,2010,"USA","FL","Male",16,"Right-Handed",178,23,183,1,"Car",28,0.38,47,"Athletics",900,800,900,NA,600,500,23,"Same length",NA,NA,NA,"September","Winter","No","No","Meat","Water","English",7,8,4,"Yes - broadband connection","Text messaging",50,60,42,0,8,35,30,2,6,8,8,4,0,3,"A lot","Graduate degree","Pop","Fly","Happy","Actor","Education/Youth development"
247,2013,"USA","NY","Female",17,"Right-Handed",161,12.7,157,1,"Car",7,0.33,42,"Other",437,456,512,525,860,923,27,"Left foot",110,110,"Same length","June","Fall","No","No","Fruit","Juice","Mathematics and statistics",8,10,4,"Yes - other","Text messaging",300,350,12,1,5,11,6,1,20,24,26,3,0,7,"Some","Graduate degree","Techno/Electronic","Invisibility","Happy","Relative","Arts, culture, sports"
248,2013,"USA","NY","Female",12,"Right-Handed",168,27,180,1,"Bus",10,0.86,51,"Other",1000,1000,100,1000,10,10,27,"Right foot",70,75,"Ring finger","May","Winter","No","No","Desserts","Water","Physical education",8,12,3,"Yes - broadband connection","Text messaging",1,20,16,0,8,10,10,7,7,6,18,13,0,3,"A lot","Graduate degree","Rap/Hip hop","Freeze time","Happy","Relative","Environment"
249,2014,"USA","NY","Female",16,"Right-Handed",218,27,198,2,"Bus",10,0.28,31,"Tennis",700,500,300,200,50,300,26,"Right foot",76,80,"Ring finger","September","Fall","No","Yes","Pizza/Pasta","Tea","History",6,11,4,"Yes - broadband connection","Cell phone",200,220,8,4,3,3,8,0,20,15,4,5,14,2,"A lot","Undergraduate degree","Country","Invisibility","Happy","Religious figure","Wildlife, animals"
250,2011,"USA","WY","Female",15,"Right-Handed",154,23,153,1,"Bus",60,0.34,37,"Dancing",50,99,100,NA,30,30,23,"Same length",80,85,"Ring finger","November","Summer","No","No","Pizza/Pasta","Water","History",8,9,4,"Yes - dial-up connection","In person",33,32,45,1,1,24,4,3,1,49,3,24,2,1,"Some","Some college","Rap/Hip hop","Freeze time","Healthy","Politician","Religious"
251,2012,"USA","TX","Male",16,"Right-Handed",144,20,144,1,"Car",20,0.1,36,"Football (American)",600,500,200,700,900,900,20,"Same length",NA,NA,NA,"August","Summer","Yes","No","Meat","Sports drink","History",6,10,4,"Yes - broadband connection","Text messaging",120,120,25,0,20,10,10,1,5,40,6,8,1,2,"A lot","Graduate degree","Rap/Hip hop","Freeze time","Happy","Sports person","Religious"
252,2015,"USA","OH","Male",12,"Right-Handed",160,24,161,2,"Car",35,0.3,45,"Basketball",465,241,749,1000,722,930,24,"Same length",70,75,"Ring finger","September","Spring","No","No","Desserts","Soft drink (caffeinated)","Mathematics and statistics",9,13,4,"Yes - other","In person",1,3,35,0,10,12,30,25,0,2,15,20,0,5,"A lot","Graduate degree","Pop","Invisibility","Healthy","Sports person","Other"
253,2014,"USA","VA","Female",17,"Right-Handed",169,22,167,1,"Bus",25,0.46,35,"Running/Jogging",1000,545,802,701,310,107,21,"Right foot",72,70,"Index finger","March","Spring","No","No","Meat","Water","Other",7,10,7,"Yes - broadband connection","In person",15,12,45,12,6,40,6,0,0,4,10,5,0,2,"Some","Graduate degree","Country","Telepathy","Healthy","Relative","Wildlife, animals"
254,2015,"USA","CO","Female",14,"Right-Handed",163,23,156,1,"Car",15,0.4,31,"Dancing",500,700,700,700,1000,500,23,"Same length",80,80,"Same length","March","Fall","Yes","No","Meat","Water","Mathematics and statistics",7,NA,6,"Yes - other","Text messaging",35,25,2,0,10,4,20,1,5,10,15,8,0,4,"Some","Other","Pop","Telepathy","Happy","Relative","Education/Youth development"
255,2015,"USA","CA","Female",8,"Right-Handed",127,19.05,119,2,"Car",10,0.57,96,"Baseball/Softball",1000,1000,1000,193,32,273,20,"Left foot",NA,NA,NA,"December","Summer","No","No","Pizza/Pasta","Milk","Music",10,11,4,"Yes - broadband connection","In person",0,0,30,0,3,7,3,2,0,0,0,3,0,1,"Very little","Graduate degree","Country","Invisibility","Healthy","Other","Wildlife, animals"
256,2011,"USA","TX","Male",17,"Right-Handed",167,25,180,2,"Car",10,0.3,37,"Soccer",600,600,700,NA,1000,1000,25,"Same length",80,85,"Ring finger","March","Winter","Yes","No","Meat","Sports drink","Other",7,6,5,"Yes - other","Text messaging",75,80,6,2,1,12,4,4,2,20,12,4,30,3,"None","Other","Rap/Hip hop","Freeze time","Rich","Relative","Education/Youth development"
257,2013,"USA","SC","Female",17,"Right-Handed",163,25,173,1,"Car",15,0.97,47,"None",6,3,5,2,4,1,25,"Same length",70,80,"Ring finger","September","Fall","No","No","Fruit","Tea","Science",6,9,6,"Yes - broadband connection","Text messaging",200,200,20,1,4,10,0,0,15,20,15,5,30,5,"A lot","Graduate degree","Pop","Invisibility","Happy","Teacher","Other"
258,2011,"USA","GA","Male",17,"Right-Handed",175,26,168,1,"Car",20,0.33,30,"Tennis",650,300,200,NA,800,950,26,"Same length",78,78,"Same length","December","Summer","Yes","No","Meat","Water","Physical education",8,10,5,"Yes - broadband connection","Text messaging",30,30,12,0,6,8,0,4,0,1,14,10,0,0,"A lot","Graduate degree","Punk rock","Freeze time","Happy","Relative","Environment"
259,2013,"USA","CA","Male",16,"Right-Handed",176,25.2,175,2,"Car",40,0.49,40,"Table Tennis",652,406,524,813,615,717,25,"Right foot",75,80,"Ring finger","November","Winter","No","No","Other","Water","Mathematics and statistics",6,9,4,"Yes - broadband connection",NA,30,30,10,1,22,6,5,0,15,2,20,1,0,2,"A lot","Graduate degree","Other","Fly","Rich","Politician","Education/Youth development"
260,2012,"USA","CA","Male",16,"Right-Handed",177,26,179,1,"Car",15,0.3,42,"Walking/Hiking",500,500,500,500,750,750,26,"Same length",85,89,"Ring finger","February","Summer","Yes","No","Pizza/Pasta","Milk","History",8,9,3,"Yes - broadband connection","In person",30,30,20,0,3,4,4,3,2,2,7,1,0,1,"Very little","Graduate degree","Rap/Hip hop","Fly","Happy","Business person","Health"
261,2015,"USA","MA","Male",13,"Right-Handed",156,25,156,1,"Bus",10,0.49,63,"Hockey (Ice)",250,600,300,400,400,800,25,"Same length",70,75,"Ring finger","February","Winter","No","No","Desserts","Water","History",8,8,5,"Yes - other",NA,0,0,3,1,9,5,15,1,5,1,2,5,0,1,"A lot","Other","Rap/Hip hop","Invisibility","Healthy","Relative","International aid"
262,2012,"USA","TX","Male",12,"Ambidextrous",163,25,160,3,"Car",3,0.26,45,"Basketball",1000,1000,900,1000,800,900,25,"Same length",80,85,"Ring finger","May","Summer","Yes","Yes","Desserts","Water","Computers and technology",10,13,4,"Yes - broadband connection","Telephone",0,0,4,0,1,5,1,2,0,0,1,1,0,0,"Very little","Graduate degree","Other","Freeze time","Healthy","Religious figure","Health"
263,2011,"USA","HI","Female",14,"Left-Handed",165,25,170,1,"Car",30,0.41,43,"Dancing",1000,1000,1000,NA,1000,1000,24,"Right foot",80,80,"Same length","February","Winter","Yes","No","Pizza/Pasta","Water","History",7,11,5,"Yes - other","Text messaging",200,200,50,10,10,100,10,10,10,20,20,20,0,5,"A lot","Other","Pop","Freeze time","Famous","Musician or singer","Arts, culture, sports"
264,2011,"USA","OH","Female",11,"Right-Handed",151,23,145,1,"Bus",15,0.39,48,"Gymnastics",500,850,20,NA,900,250,23,"Same length",80,90,"Ring finger","October","Spring","No","No","Pizza/Pasta","Sports drink","Mathematics and statistics",7,6,4,"Yes - other","Text messaging",25,30,35,14,14,56,14,3,1,14,3,4,1,1,"None","Graduate degree","Rap/Hip hop","Telepathy","Happy","Musician or singer","Health"
265,2013,"USA","PA","Male",17,"Right-Handed",170,24.5,156,2,"Bus",11,0.33,52,"Running/Jogging",636,396,316,326,588,1000,25,"Same length",82,87,"Ring finger","March","Winter","No","No","Breads/Sandwiches","Water","Art",7,9.5,4,"Yes - broadband connection","In person",0,0,7,3,19,2,2,20,2,0,3,1,0,0,"Very little","Undergraduate degree","Techno/Electronic",NA,"Happy","Relative","International aid"
266,2013,"USA","NE","Female",17,"Right-Handed",158,22,154,1,"Car",15,0.28,40,"Dancing",455,631,701,733,642,759,23,"Left foot",74,72,"Index finger","April","Summer","No","No","Fruit","Water","Science",6,8,6,"Yes - broadband connection","Text messaging",25,25,10,7,10,21,8,0,14,14,7,6,32,2,"A lot","Graduate degree","Jazz","Freeze time","Healthy","Friend","Health"
267,2010,"USA","DC","Male",12,"Right-Handed",140,23,147,1,"Bus",8,0.35,43,"Football (American)",273,449,401,NA,1000,1000,23,"Same length",65,75,"Ring finger","April","Spring","Yes","No","Seafood","Water","Art",8,NA,3,"Yes - broadband connection","Text messaging",56,48,6,9,4,2,7,12,16,10,2,1,5,1,"Very little","Graduate degree","Rap/Hip hop","Super strength","Happy","Actor","Wildlife, animals"
268,2014,"USA","CA","Male",10,"Right-Handed",146,23,142,2,"Car",6,0.36,36,"Soccer",379,526,390,363,462,462,22,"Right foot",64,70,"Ring finger","September","Summer","No","No","Meat","Juice","Computers and technology",10,9,4,"Yes - broadband connection","Internet chat or instant messaging",0,0,8,0,5,5,3,12,0,0,10,14,0,3,"Some",NA,NA,NA,NA,NA,NA
269,2011,"USA","HI","Female",15,"Right-Handed",169,25,170,1,"Car",30,0.33,34,"Swimming",652,690,789,NA,1000,1000,24,"Right foot",80,75,"Index finger","February","Spring","No","No","No favorite","Juice","English",6,6,4,"Yes - broadband connection","Text messaging",24,33,0,4,5,0,2,1,6,13,16,0,0,7,"Some","Graduate degree","Rap/Hip hop","Telepathy","Healthy","Business person","Wildlife, animals"
270,2015,"USA","CA","Female",17,"Right-Handed",170,24,174,1,"Car",5,0.41,47,"Dancing",1000,200,900,800,500,600,24,"Same length",70,68,"Index finger","August","Winter","No","No","Soups","Coffee","English",6,8,4,"Yes - other","In person",200,200,7,1,7,8,6,0,3,4,5,3,0,3,"A lot","Graduate degree","Rock and roll","Telepathy","Happy","Musician or singer","International aid"
271,2015,"USA","OK","Female",16,"Right-Handed",165,26,154,2,"Car",15,0.38,42,"Skateboarding/Rollerblading",1000,500,700,800,50,100,26,"Same length",70,70,"Same length","March","Fall","Yes","No","Pizza/Pasta","Soft drink (caffeinated)","Mathematics and statistics",8,11,5,"Yes - other","Cell phone",117,123,40,21,21,14,0,0,11,21,14,28,35,7,"None","Graduate degree","Other","Telepathy","Rich","Relative","Health"
272,2011,"USA","NM","Female",17,"Right-Handed",168,24,159,1,"Car",15,0.38,37,"Other",540,877,647,NA,1000,1000,23,"Right foot",66,68,"Ring finger","March","Winter","No","No","Rice/Noodle dishes","Water","History",6,10,4,"Yes - broadband connection","In person",100,100,16,1,20,10,15,0,2,3,7,2,0,1,"A lot","Graduate degree","Other","Telepathy","Healthy","Other","Wildlife, animals"
273,2013,"USA","MI","Male",17,"Right-Handed",188,28,193,1,"Walk",5,0.34,48,"Football (American)",80,64,187,107,717,925,28,"Right foot",86,96,"Ring finger","July","Summer","No",NA,"Meat","Water","History",7,8.5,3,"Yes - other","Text messaging",78,83,3,1,3,6,4,10,10,15,6,8,10,3,"Some","Graduate degree","Heavy metal","Fly","Happy","Sports person","Arts, culture, sports"
274,2015,"USA","OH","Male",17,"Ambidextrous",173,27.5,180,2,"Skateboard/Scooter/Rollerblade",5,0.24,37,"Rowing",606,705,501,320.4,20,701,28,"Same length",108,99,"Index finger","April","Summer","Yes","Yes","Seafood","Soft drink (caffeinated)","Languages",8,9.5,4,"No internet connection","In person",50,50,10,0,15,6,15,0,0,3,7,3,0,4,"Some","Graduate degree","Classical","Fly","Rich","Actor","Wildlife, animals"
275,2014,"USA","GU","Male",14,"Right-Handed",175,11.5,169,2,"Bus",27,1.13,43,"Football (American)",987,988,898,800,1000,1000,11,"Right foot",102,76.2,"Index finger","February","Winter","No","No","Meat","Soft drink (non-caffeinated)","Physical education",9,11,6,"No internet connection","In person",18,37,20,0,4,0,10,14,9,1,27,14,5,0,"Some","Other","Reggae","Freeze time","Happy","Relative","Health"
276,2015,"USA","OH","Female",13,"Right-Handed",157,25,159,1,"Car",10,0.68,61,"Soccer",500,800,700,400,900,900,25,"Same length",70,70,"Same length","June","Fall","Yes","No","Pizza/Pasta","Milk","Social studies",8,11,5,"Yes - broadband connection","Text messaging",300,300,20,1,7,35,9,0,6,6,8,8,0,3,"A lot","Graduate degree","Pop","Fly","Happy","Business person","Health"
277,2010,"USA","GA","Male",17,"Right-Handed",181,28,181,1,"Car",5,0.3,58,"Other",500,300,1000,NA,1000,1000,28,"Same length",110,110,"Same length","June","Fall","No","No","Seafood","Soft drink (caffeinated)","History",8,12,3,"Yes - other","In person",15,18,50,2,3,3,15,10,1,100,2,100,50,20,"A lot","Undergraduate degree","Other","Fly","Happy","Business person","Wildlife, animals"
278,2014,"USA","MO","Male",17,"Right-Handed",186,28,185,1,"Car",8,0.29,42,"Basketball",300,618,412,503,712,900,27,"Right foot",101,101,"Same length","January","Fall","Yes","No","Pizza/Pasta","Milk","Science",7,8,4,"Yes - broadband connection","Text messaging",154,157,4,1,6,2,3,2,12,60,48,12,8,1,"Some","Graduate degree","Pop","Fly","Happy","Relative","Health"
279,2010,"USA","PA","Female",17,"Right-Handed",163,23,153,1,"Car",7,0.33,36,"Dancing",107,342,132,NA,417,588,24,"Left foot",80,100,"Ring finger","December","Spring","No","No","No favorite","Coffee","English",5,9,3,"Yes - broadband connection","Text messaging",26,29,6,4,28,4,3,0,1,14,14,9,5,1,"A lot","Graduate degree","Other","Telepathy","Happy","Teacher","Other"
280,2015,"USA","WI","Male",12,"Right-Handed",157,24,150,1,"Bicycle",5,0.28,45,"Hockey (Ice)",1000,1000,1000,1000,500,250,24,"Right foot",100,70,"Index finger","February","Winter","Yes",NA,"Meat","Water","Physical education",8,9,4,"Yes - other","In person",20,20,24,1,1,30,30,0,2,1,0,2,0,2,"Some","Some college","Pop","Fly","Healthy","Sports person","Wildlife, animals"
281,2012,"USA","NC","Male",11,"Right-Handed",149,24,140,2,"Car",10,0.51,40,"Soccer",80,306,406,636,1000,1000,24,"Same length",70,60,"Index finger","January","Summer","Yes","No","Desserts","Soft drink (caffeinated)","Art",8,NA,5,"Yes - broadband connection","Text messaging",0,0,7,0,1,2,4,4,2,0,4,9,0,0,"Some","Some college","Rap/Hip hop","Invisibility","Famous","Relative","Wildlife, animals"
282,2011,"USA","GA","Male",17,"Ambidextrous",187,37,132,1,"Car",20,0.38,37,"Martial Arts",500,200,700,NA,500,375,37,"Same length",NA,NA,NA,"December","Winter","No","No","Meat","Sports drink","Mathematics and statistics",8,5,7,"Yes - other","Cell phone",0,0,15,2,4,5,20,10,3,30,15,5,45,5,"Very little","Graduate degree","Heavy metal","Invisibility","Happy","Relative","Health"
283,2012,"USA","MO","Male",13,"Right-Handed",171,30.48,175,1,"Car",4,0.28,36,"Baseball/Softball",5,5,0,5,882,904,28,"Right foot",90,80,"Index finger","March","Spring","Yes","No","Meat","Water","History",9,8,5,"Yes - broadband connection","Other",0,0,7,0,7,2,9,5,2,3,3,10,0,1,"A lot","Graduate degree","Pop","Fly","Rich","Other","Wildlife, animals"
284,2012,"USA","SC","Female",17,"Right-Handed",170,24,158,2,"Car",15,0.33,47,"Dancing",500,800,1000,900,400,850,26,"Left foot",87,85,"Index finger","October","Summer","No","No","Fruit","Water","Languages",8,9,2,"Yes - dial-up connection","Internet chat or instant messaging",15,35,8,1,4,10,6,2,3,3,4,5,0,6,"Some","Graduate degree","Pop","Telepathy","Happy","Business person","Health"
285,2014,"USA","NJ","Male",10,"Right-Handed",143,23,136,2,"Car",4,0.48,51,"Athletics",300,700,50,15,1000,1000,23,"Same length",60,65,"Ring finger","July","Summer","Yes","No","Meat","Sports drink","Physical education",10,7,4,"Yes - dial-up connection","In person",0,10,18,0,2,14,16,4,1,2,4,7,0,1,"Some","Undergraduate degree","Pop","Fly","Rich","Sports person","International aid"
