"timestamp","calories","sat_fat","sodium","sugar","carbs","total_fat","healthy_level","serving_size","ingredients","name","salty_sweet"
2013-09-18 19:28:00,140,2,190,1,5,11,"Slightly healthy",1,"peanuts, peanut oil, cottonseed oil","hot and spicy peanuts","Salty"
2013-10-26 20:15:00,370,12,250,26,37,22,"Unhealthy",1,"Skim milk,suger,cream cheese","Double Dutch chocolate cheesecake","Sweet"
2013-09-24 14:06:00,230,6,35,31,34,9,"Healthy",1,"Sugar, chocolate, skim milk","M&ms","Sweet"
2013-10-25 16:08:00,150,3,420,0,17,3,"Neither healthy nor unhealthy",1,"corn masa flour,soybean or canola oil , sugar, natural and artificial flavor, citric acid","takis","Salty"
2013-10-10 10:24:00,140,1,200,0,16,8,"Neither healthy nor unhealthy",1,"maiz, aceite vegetal, corn","doritos","Salty"
2013-10-29 06:48:00,200,2,250,16,34,6,"Slightly Unhealthy",2,"Enriched flour, wheat, reduced iron","Pop tarts peanut butter","Sweet"
2013-09-15 22:46:00,170,0,300,3,29,0,"Neither healthy nor unhealthy",1,"rice,  sugar , salt","crispy rice cereal","Sweet"
2013-10-10 08:09:00,270,0,3,23,38,12,"Slightly Unhealthy",1,"Yellow cake mix, soybean oil , dried egg whites","Cream cheese cake","Sweet"
2013-09-30 07:46:00,80,2,75,6,11,4,"Neither healthy nor unhealthy",1,"whole grain oats,sugar,vegetable oil","thins granola","Sweet"
2013-09-15 10:19:00,100,0,20,28,28,0,"Slightly Unhealthy",8,"carbonated water , high fructose corn syrup , caramel color sugar","pepsi","Sweet"
2013-10-22 17:10:00,240,3,120,13,32,11,"Unhealthy",1,"Enriched flourWheat flourNiacin","Strawberry shortbread","Sweet"
2013-09-16 21:00:00,70,1,870,1,11,2,"Slightly healthy",1,"Chicken stock, enriched egg noodles, water","Campbell's chicken noodle soup","Salty"
2013-10-25 15:57:00,95,1,90,11,28,30,"Healthy",1,"vitamin avitamin cdietary fiber","nature valleycrunchygranola bars","Sweet"
2013-10-10 08:12:00,320,3,510,1,25,22,"Unhealthy",1,"Enriched corn meal, ferrous sulfate, niacin","Cheetos flamin hot limon crunchy","Salty"
2013-10-14 22:48:00,160,1,160,1,15,15,"Slightly Unhealthy",1,"Corn, Corn Oil, Flamin Hot Seadoning","Fritos Flamin-Hot","Salty"
2013-09-30 08:44:00,160,2,160,1,15,10,"Unhealthy",1,"Potatoes, Vegetable Oil, & Sour Cream and Onion Seasoning","Sour Cream & Onion Lays","Salty"
2013-09-30 07:23:00,160,2,170,0,15,10,"Slightly Unhealthy",1,"Potato Vegtable oil Salt","Lays","Salty"
2013-11-01 23:27:00,130,0,16,8,9,0,"Unhealthy",1,"sugar, corn syrup, chilli","cucharita rica","Sweet"
2013-10-02 16:39:00,80,0,160,21,21,0,"Slightly Unhealthy",1,"Water, sucrose, dextrose","Gatorade","Sweet"
2013-10-18 11:30:00,160,2,8,0,8,11,"Slightly Unhealthy",1,"enriched corn mealferrous sulfateniacin","hot cheetos","Salty"
2013-10-01 15:27:00,70,0,65,19,19,0,"Slightly Unhealthy",4,"Water, High fructose corn syrup, citric acid","Brisk lemonade","Sweet"
2013-09-21 16:25:00,80,0,160,21,21,0,"Slightly Unhealthy",1,"water, sucrose, dextrose","Gatorade","Sweet"
2013-10-13 12:30:00,100,0,10,19,22,0,"Slightly healthy",6,"corn,water,sugar","peach halves","Sweet"
2013-10-23 19:32:00,90,2,90,0,0,10,"Slightly Unhealthy",1,"Soybean oil, water,whole eggs and egg yolks","Best foods mayonnaise","Salty"
2013-10-10 18:54:00,80,0,0,16,20,0,"Unhealthy",1,"Sucrose, corn syrup, food starch-modified","chewy lemonheads & friends","Sweet"
2013-11-04 08:37:00,240,4,150,15,34,11,"Slightly Unhealthy",1,"Enriched Flour Bleached Wheat FlourNiacin","Grandmas Mini Sandwich Cremes","Sweet"
2013-10-24 10:02:00,60,0,55,11,14,0,"Unhealthy",1,"sugar,corn syrup,buffered lactic acid","ring pop","Sweet"
2013-09-19 20:51:00,118,0,9,20,28,0,"Slightly healthy",3,"corn syrup , sugar , gelatin","peach rings","Sweet"
2013-10-08 09:02:00,190,1,180,6,28,7,"Slightly Unhealthy",1,"whole grain oats,sugar,canola oil","nature valley","Sweet"
2013-09-28 19:05:00,5,0,0,1,1,0,"Neither healthy nor unhealthy",1,"Sorbitol, Maltodextrn, Natural Flavor","Ice Breaker Mints","Sweet"
2013-10-02 20:56:00,140,2,280,1,16,8,"Unhealthy",1,"Enriched corn meal,vegetable oil, dried potatoes","Chester's flamin hot fries","Salty"
2013-10-25 18:33:00,160,2,200,1,15,10,"Unhealthy",1,"Potatoes, limon, vegetable oil","Lays Limon","Salty"
2013-10-24 16:34:00,110,0,10,25,27,0,"Neither healthy nor unhealthy",1,"Filtered water high fructose corn syrup pear juice","Arizona","Sweet"
2013-09-15 14:24:00,450,4,310,2,16,28,"Slightly Unhealthy",1,"potatoes,  vegetable oil , sweet southern heat barbeque seasoning","lays sweet southern heat barbecue chips","Sweet"
2013-09-27 16:10:00,130,0,150,6,27,1,"Slightly healthy",1,"corn, whole grain rolled oats, sugar","honey crisp medley","Sweet"
2013-09-14 09:48:00,160,2,160,1,15,10,"Slightly Unhealthy",1,"Potatoes, vegetable oil, sour cream","Lays","Salty"
2013-10-09 21:25:00,90,1,105,8,17,20,"Unhealthy",1,"toasted rice cerealMarshmallowFructose","Rice krispies treats","Sweet"
2013-09-17 15:10:00,80,0,220,19,20,0,"Neither healthy nor unhealthy",1,"water , corn sryup , concentrated juices","SunnyD","Sweet"
2013-10-10 09:13:00,230,7,35,24,25,13,"Neither healthy nor unhealthy",1,"Sugar milk and coca butter","Worlds finest chocolate","Sweet"
2013-10-28 10:23:00,50,57,45,324,388,50,"Unhealthy",1,"Flour water","Nutter better","Sweet"
2013-09-29 20:18:00,80,0,0,0,0,0,"Neither healthy nor unhealthy",1,"K","Gatorade","Sweet"
2013-10-10 19:06:00,110,0,125,0,19,3,"Neither healthy nor unhealthy",1,"whole corn, vegetable oil, salt","Baked! Tostitos","Salty"
2013-09-26 19:40:00,90,0,0,15,29,0,"Healthy",1,"Banana","Banana","Sweet"
2013-10-26 17:08:00,100,2,85,0,0,11,"Slightly Unhealthy",1,"Soybean oil,egg yolks,water","Mc Cormick mayonnaise with lime juice","Salty"
2013-10-03 21:48:00,140,0,300,2,14,8,"Neither healthy nor unhealthy",11,"Wheat flour, penut butter, palm oil","Peanut butter filled pretzels","Salty"
2013-10-14 20:17:00,140,10,55,38,39,0,"Healthy",1,"Water, gas, salt","Squirt soda","Sweet"
