Date,City,CO,NO2,SO2,O3,PM2.5,PM10,Type
2024-04-11 12:00:00+00:00,Beijing,877.0,95.7,47.0,45.0,122.0,185.8,Industrial
2024-02-17 14:00:00+00:00,Beijing,2339.0,72.8,146.7,0.0,150.9,216.1,Industrial
2024-03-24 03:00:00+00:00,Beijing,769.0,37.5,28.1,55.0,63.8,99.2,Industrial
2024-03-08 15:00:00+00:00,Beijing,1039.0,77.1,67.0,0.0,65.9,95.9,Industrial
2024-12-21 03:00:00+00:00,Beijing,841.0,19.3,26.4,51.0,27.2,28.3,Industrial
2024-04-20 06:00:00+00:00,Beijing,311.0,14.3,12.8,83.0,38.4,62.2,Industrial
2024-04-17 20:00:00+00:00,Beijing,735.0,67.6,31.7,0.0,73.1,111.1,Industrial
2024-01-04 08:00:00+00:00,Beijing,2028.0,76.3,130.3,16.0,127.6,184.4,Industrial
2024-08-24 10:00:00+00:00,Beijing,1175.0,109.2,58.5,132.0,117.8,171.4,Industrial
2024-05-27 12:00:00+00:00,Beijing,634.0,106.4,37.8,10.0,51.8,74.5,Industrial
2024-10-12 17:00:00+00:00,Beijing,1148.0,70.1,58.2,0.0,114.1,173.7,Industrial
2024-08-25 18:00:00+00:00,Beijing,441.0,21.1,16.2,120.0,29.0,41.3,Industrial
2024-05-15 04:00:00+00:00,Beijing,173.0,7.4,5.4,102.0,5.9,8.5,Industrial
2024-07-01 19:00:00+00:00,Beijing,669.0,74.1,39.9,4.0,72.9,108.0,Industrial
2024-07-20 12:00:00+00:00,Beijing,484.0,55.4,30.0,122.0,39.7,58.4,Industrial
2024-09-22 13:00:00+00:00,Beijing,1534.0,69.9,61.2,0.0,107.1,153.2,Industrial
2024-07-26 14:00:00+00:00,Beijing,1015.0,123.1,48.3,32.0,111.8,161.1,Industrial
2024-09-02 04:00:00+00:00,Beijing,247.0,15.9,11.8,82.0,12.5,17.8,Industrial
2024-07-28 21:00:00+00:00,Beijing,905.0,67.9,47.6,0.0,95.0,137.8,Industrial
2024-09-03 00:00:00+00:00,Beijing,1051.0,48.7,68.1,8.0,77.1,110.6,Industrial
2024-01-28 20:00:00+00:00,Beijing,2094.0,51.5,113.8,1.0,144.4,207.7,Industrial
2024-01-22 07:00:00+00:00,Beijing,295.0,13.8,10.8,60.0,6.1,8.8,Industrial
2024-12-05 11:00:00+00:00,Beijing,1527.0,66.1,100.1,1.0,146.7,147.6,Industrial
2024-08-02 02:00:00+00:00,Beijing,716.0,70.5,44.4,51.0,82.2,119.0,Industrial
2024-08-03 04:00:00+00:00,Beijing,511.0,38.2,25.9,133.0,71.2,106.4,Industrial
2024-07-03 23:00:00+00:00,Beijing,1010.0,70.6,54.1,16.0,108.3,156.0,Industrial
2024-04-27 18:00:00+00:00,Beijing,249.0,17.3,11.3,62.0,124.3,210.9,Industrial
2024-06-28 06:00:00+00:00,Beijing,383.0,10.6,17.6,220.0,50.5,75.9,Industrial
2024-07-06 10:00:00+00:00,Beijing,411.0,44.2,19.9,144.0,42.8,63.3,Industrial
2024-02-19 07:00:00+00:00,Beijing,220.0,9.7,5.5,69.0,9.7,14.0,Industrial
2024-01-25 16:00:00+00:00,Beijing,1617.0,65.5,115.7,1.0,111.5,159.3,Industrial
2024-11-19 09:00:00+00:00,Beijing,2751.0,76.7,148.8,0.0,168.1,173.2,Industrial
2024-09-26 16:00:00+00:00,Beijing,1736.0,65.7,84.9,0.0,136.4,197.9,Industrial
2024-04-27 08:00:00+00:00,Beijing,328.0,21.0,13.6,95.0,43.7,73.8,Industrial
2024-04-14 17:00:00+00:00,Beijing,431.0,67.2,36.1,1.0,32.0,46.1,Industrial
2024-07-15 19:00:00+00:00,Beijing,568.0,55.0,37.9,35.0,79.2,114.3,Industrial
2024-02-22 15:00:00+00:00,Beijing,2912.0,70.5,204.7,0.0,242.1,346.5,Industrial
2024-01-01 14:00:00+00:00,Beijing,3689.0,51.8,261.6,0.0,235.6,337.1,Industrial
2024-06-16 14:00:00+00:00,Beijing,401.0,30.0,24.6,139.0,49.6,75.2,Industrial
2024-05-06 23:00:00+00:00,Beijing,773.0,51.5,41.9,7.0,73.8,109.2,Industrial
2024-09-18 06:00:00+00:00,Beijing,523.0,37.9,34.8,86.0,44.1,65.7,Industrial
2024-06-21 20:00:00+00:00,Beijing,675.0,71.9,41.5,1.0,68.7,100.4,Industrial
2024-07-19 13:00:00+00:00,Beijing,817.0,125.2,40.3,21.0,71.7,103.4,Industrial
2024-11-17 01:00:00+00:00,Beijing,1968.0,43.3,41.1,20.0,86.6,109.7,Industrial
2024-05-03 05:00:00+00:00,Beijing,345.0,15.5,20.5,141.0,43.9,65.0,Industrial
2024-07-13 05:00:00+00:00,Beijing,568.0,31.4,30.9,173.0,101.0,148.1,Industrial
2024-09-26 06:00:00+00:00,Beijing,481.0,44.1,37.6,50.0,49.7,75.7,Industrial
2024-02-18 04:00:00+00:00,Beijing,1245.0,44.0,65.4,10.0,92.0,133.2,Industrial
2024-12-25 22:00:00+00:00,Beijing,505.0,31.8,32.9,37.0,30.4,57.4,Industrial
2024-08-28 09:00:00+00:00,Beijing,869.0,105.3,52.4,53.0,75.7,108.3,Industrial
2024-05-26 20:00:00+00:00,Beijing,502.0,29.6,10.6,3.0,33.2,48.1,Industrial
2024-12-04 09:00:00+00:00,Beijing,1484.0,72.6,102.2,1.0,131.3,133.2,Industrial
2024-09-12 23:00:00+00:00,Beijing,1075.0,40.5,30.9,1.0,76.8,109.7,Industrial
2024-06-26 23:00:00+00:00,Beijing,425.0,47.8,36.5,49.0,35.3,51.3,Industrial
2024-11-17 00:00:00+00:00,Beijing,2249.0,52.7,49.4,6.0,72.6,100.8,Industrial
2024-08-19 00:00:00+00:00,Beijing,791.0,63.8,28.3,15.0,64.5,92.4,Industrial
2024-03-08 09:00:00+00:00,Beijing,335.0,26.7,20.0,64.0,19.4,33.2,Industrial
2024-11-19 15:00:00+00:00,Beijing,5572.0,57.5,119.4,0.0,156.9,160.2,Industrial
2024-01-15 10:00:00+00:00,Beijing,2102.0,71.0,143.2,0.0,149.9,214.7,Industrial
2024-04-09 13:00:00+00:00,Beijing,537.0,71.7,33.7,11.0,51.6,81.0,Industrial
2024-04-05 23:00:00+00:00,Beijing,990.0,35.9,39.0,0.0,78.7,116.9,Industrial
2024-12-27 21:00:00+00:00,Beijing,1747.0,54.8,41.8,13.0,59.6,82.7,Industrial
