"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"18 years old or older","Male","12th grade","No","White",1.75,63.5,"Never wore a helmet","Never","6 to 9 days","0 times","Yes","No","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 to 3 times","4 to 6 times","4 to 6 times","1 glass per day","5 days","4 days","3 hours per day","No playing video/computer game","0 teams","No","7 hours","1 to 3 times","3 times per day","1 times"
"18 years old or older","Male","12th grade","No","White",1.8,94.35,"Did not ride a bicycle","Most of the time","10 to 19 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","Did not eat fruit","Did not eat green salad","1 to 3 times","4 to 6 glasses","7 days","7 days","Less than 1 hour per day","2 hours per day","2 teams","No","6 hours","4 to 6 times","4 or more times per day","2 times"
"14 years old","Male","9th grade","Yes","Hispanic/Latino",1.68,50.35,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 or more times per day","Did not eat green salad","1 to 3 times","1 glass per day","5 days","6 days","1 hour per day","1 hour per day","2 teams","Yes","8 hours","1 to 3 times","4 or more times per day","0 times"
"14 years old","Female","9th grade","No","Asian",1.57,56.7,"Always wore a helmet","Always","I did not drive the past 30 days","0 times","Yes","No","Yes","0 days","0 days","bisexual","Slightly overweight","1 to 3 times","4 to 6 times","Did not eat green salad","1 to 3 times","Did not drink milk","7 days","5 days","2 hours per day","5 or more hours per day","2 teams","Yes","7 hours","1 to 3 times","3 times per day","2 times"
"15 years old","Male","9th grade","No","White",1.78,88.45,"Rarely wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","1 time per day","1 to 3 times","Did not drink soda or pop","1 glass per day","7 days","7 days","3 hours per day","Less than 1 hour per day","2 teams","No","7 hours","2 times per day","4 or more times per day","0 times"
"16 years old","Male","10th grade","Yes","Hispanic/Latino",1.73,53.98,"Never wore a helmet","Always","0 days","0 times","Yes","Yes","Yes","0 days","6 to 9 days","Gay or lesbian","Very underweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","4 or more times per day",NA,"1 day","7 days","Less than 1 hour per day","Less than 1 hour per day","0 teams","No","9 hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.57,76.2,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","Yes","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","3 days","7 days","4 hours per day","5 or more hours per day","1 team","No","5 hours","Did not drink sports drink","4 or more times per day","2 times"
"16 years old","Male","11th grade","No","White",1.7,63.5,NA,NA,"6 to 9 days",NA,"No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 time per day","1 to 3 times","1 to 3 times","Did not drink soda or pop",NA,NA,"7 days","Less than 1 hour per day","Less than 1 hour per day",NA,"No",NA,NA,NA,NA
"14 years old","Male","9th grade","No","Black or African American",1.7,63.5,"Never wore a helmet","Most of the time","0 days","2 or 3 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","3 times per day","4 to 6 times","Did not eat green salad","1 time per day","Did not drink milk","7 days","7 days","2 hours per day","2 hours per day","3 or more teams","Yes","8 hours","2 times per day","3 times per day","0 times"
"18 years old or older","Male","12th grade","No","White",1.78,70.31,"Never wore a helmet","Always","6 to 9 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","0 days","4 days","2 hours per day","Less than 1 hour per day","1 team","No","8 hours","1 to 3 times","4 to 6 times","3 times"
"18 years old or older","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.65,61.24,"Did not ride a bicycle","Always","I did not drive the past 30 days","6 or 7 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","4 or more times per day","1 to 3 times","2 times per day","4 to 6 glasses","5 days","0 days","1 hour per day","5 or more hours per day","0 teams","Yes","4 or less hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Female","11th grade","No","Am Indian / Alaska Native",1.5,66.23,"Did not ride a bicycle","Always","I did not drive the past 30 days","1 time","Yes","No","Yes","3 to 5 days","All 30 days","bisexual","Slightly overweight","1 to 3 times","1 time per day","1 time per day","2 times per day","Did not drink milk","4 days","5 days","No TV on average school day","5 or more hours per day","1 team","Yes","8 hours","1 to 3 times","4 or more times per day","0 times"
"16 years old","Male","10th grade","No","White",1.83,111.13,"Never wore a helmet","Always","0 days","0 times","No","No","No","10 to 19 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","Did not eat fruit","Did not eat green salad","2 times per day","4 to 6 glasses","3 days","4 days","1 hour per day","5 or more hours per day","0 teams","No","6 hours","Did not drink sports drink","1 to 3 times","1 times"
"16 years old","Female","11th grade","No","Asian",1.57,59.88,"Did not ride a bicycle","Always","0 days","2 or 3 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop","Did not drink milk","2 days","0 days","4 hours per day","5 or more hours per day","0 teams","No","7 hours","Did not drink sports drink","4 or more times per day","1 times"
"15 years old","Male","10th grade","Yes","Hispanic/Latino",1.68,60.33,"Never wore a helmet","Most of the time","0 days","0 times","No","No","No","0 days","0 days",NA,"About the right weight","4 to 6 times","1 to 3 times","1 to 3 times","4 to 6 times","1 glass per day","4 days","3 days","Less than 1 hour per day","Less than 1 hour per day",NA,NA,NA,"1 to 3 times","1 time per day",NA
"15 years old","Female","9th grade",NA,NA,1.52,52.16,"Never wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","1 or 2 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 to 6 times","4 to 6 times","Did not drink soda or pop","1 to 3 glasses","1 day",NA,"3 hours per day","No playing video/computer game","0 teams","Yes","6 hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Male","12th grade","No","White",1.75,65.77,NA,NA,"All 30 days",NA,"No","No","No",NA,NA,NA,NA,"2 times per day","4 to 6 times","1 time per day","4 to 6 times",NA,NA,"2 days","1 hour per day",NA,NA,NA,NA,NA,NA,NA
"18 years old or older","Female","12th grade","No","White",1.63,58.06,"Never wore a helmet","Always","All 30 days","0 times","Yes","Yes","Yes","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","Did not eat fruit","Did not eat green salad","Did not drink soda or pop","Did not drink milk","2 days","5 days","No TV on average school day","Less than 1 hour per day","1 team","No","6 hours","1 to 3 times","4 or more times per day","2 times"
"16 years old","Female","12th grade","No","White",1.55,51.71,NA,NA,"10 to 19 days",NA,"No","No","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","4 or more times per day","Did not eat green salad","1 to 3 times",NA,NA,"2 days","2 hours per day","No playing video/computer game",NA,"Yes","7 hours",NA,NA,NA
"17 years old","Female","12th grade","No","White",1.57,48.08,"Did not ride a bicycle","Sometimes","10 to 19 days","0 times","Yes","Yes","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","3 times per day","1 to 3 glasses","7 days","7 days","Less than 1 hour per day","2 hours per day","2 teams","No","6 hours","Did not drink sports drink","1 time per day","3 times"
"15 years old","Male","10th grade","No","White",1.68,69.85,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","1 time per day","1 to 3 times","4 to 6 glasses","3 days","2 days","No TV on average school day","No playing video/computer game","0 teams","Yes","10 or more hours","Did not drink sports drink","1 to 3 times","0 times"
"17 years old","Male","12th grade","Yes","Multiple - Hispanic / Latino",1.88,86.64,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","2 times per day","1 to 3 glasses","5 days","7 days","2 hours per day","2 hours per day","2 teams","No","8 hours","4 to 6 times","2 times per day","1 times"
"15 years old","Male","9th grade","No","White",NA,NA,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","Yes","Yes","No","0 days","0 days","Heterosexual (straight)","Very overweight","1 to 3 times","1 to 3 times","Did not eat green salad","4 to 6 times","1 to 3 glasses","6 days","3 days","1 hour per day","No playing video/computer game","0 teams","Yes","8 hours","4 to 6 times","3 times per day","2 times"
"15 years old","Male","9th grade","Yes","Multiple - Hispanic / Latino",1.75,63.5,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Very overweight","1 to 3 times","4 to 6 times","1 to 3 times","4 to 6 times","1 to 3 glasses","5 days","6 days","2 hours per day","Less than 1 hour per day","3 or more teams","No","8 hours","1 to 3 times","4 to 6 times","0 times"
"17 years old","Female","11th grade","Yes","Hispanic/Latino",1.57,49.9,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","3 times per day","4 to 6 times","Did not eat green salad","1 to 3 times","1 glass per day","2 days","3 days","3 hours per day","2 hours per day","1 team","Yes","7 hours","1 to 3 times","4 or more times per day","0 times"
"15 years old","Male","10th grade","No","White",1.78,61.24,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times","2 glasses per day","7 days","7 days","No TV on average school day","1 hour per day","3 or more teams","No","7 hours","1 to 3 times","4 or more times per day","0 times"
"17 years old","Male","11th grade","No","White",1.57,39.92,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Very underweight","1 to 3 times","1 to 3 times","Did not eat green salad","2 times per day","Did not drink milk","3 days","0 days","5 or more hours per day","5 or more hours per day","1 team","No","7 hours","1 to 3 times","4 to 6 times","0 times"
"16 years old","Male","11th grade","Yes","Multiple - Hispanic / Latino",1.88,123.38,NA,NA,"6 to 9 days",NA,"No","No","No",NA,"0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","4 or more times per day","Did not eat green salad","4 or more times per day",NA,NA,"3 days","5 or more hours per day","4 hours per day",NA,"No","10 or more hours",NA,NA,NA
"15 years old","Male","9th grade","No","Multiple - Non-Hispanic",1.75,114.31,NA,NA,NA,NA,"Yes","Yes","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","2 times per day","4 to 6 times","2 times per day",NA,NA,"5 days","2 hours per day","3 hours per day",NA,NA,"9 hours",NA,NA,NA
"17 years old","Male","11th grade","No","Native Hawaiian/other PI",1.85,127.01,"Never wore a helmet","Always","I did not drive the past 30 days","0 times",NA,"No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 to 6 times","1 to 3 times","1 to 3 times","3 glasses per day","2 days","6 days","3 hours per day","2 hours per day","2 teams","Yes","8 hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.7,53.52,"Never wore a helmet","Sometimes","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","Did not eat fruit","Did not eat green salad","3 times per day","1 to 3 glasses","0 days","0 days","No TV on average school day","2 hours per day","0 teams","No","4 or less hours","Did not drink sports drink","Did not drink water","0 times"
"16 years old","Female","11th grade","No","White",1.6,54.43,"Rarely wore a helmet","Always","3 to 5 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 time per day","1 time per day","4 to 6 times","Did not drink milk","0 days","2 days","Less than 1 hour per day","2 hours per day","1 team","No","5 hours","Did not drink sports drink","4 or more times per day","3 times"
"18 years old or older","Male","12th grade","Yes","Multiple - Hispanic / Latino",1.6,79.38,"Did not ride a bicycle","Always","1 or 2 days","0 times","No","No","No","1 or 2 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","1 to 3 times","Did not drink milk","0 days","0 days","Less than 1 hour per day","Less than 1 hour per day","0 teams","No","7 hours",NA,NA,NA
"14 years old","Male","9th grade","No","White",NA,NA,"Did not ride a bicycle","Always",NA,"1 time","Yes","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","4 to 6 times","4 to 6 times","Did not eat green salad","1 time per day","1 glass per day","7 days","3 days","2 hours per day","5 or more hours per day","0 teams","No","8 hours","1 to 3 times","1 to 3 times","5 or more times"
"16 years old","Female","11th grade","No","White",1.63,56.7,"Never wore a helmet","Always","All 30 days","0 times","No","Yes","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","2 times per day","4 to 6 times","Did not drink soda or pop","Did not drink milk","2 days","2 days","No TV on average school day","1 hour per day","0 teams","Yes","5 hours","Did not drink sports drink","4 or more times per day","0 times"
"18 years old or older","Male","12th grade","No","White",1.9,117.94,"Never wore a helmet","Rarely",NA,"8 or 9 times","No","No","No","20 to 29 days","1 or 2 days","Heterosexual (straight)","About the right weight","2 times per day","4 to 6 times","1 to 3 times","1 to 3 times","2 glasses per day","2 days","7 days","1 hour per day","Less than 1 hour per day","1 team","No","9 hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Female","12th grade","No","Asian",1.6,47.63,"Always wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days",NA,"Slightly underweight","1 to 3 times","3 times per day","4 to 6 times","Did not drink soda or pop","1 glass per day","7 days","1 day","No TV on average school day","2 hours per day","1 team","No","6 hours","Did not drink sports drink","4 or more times per day","0 times"
"15 years old","Female","10th grade","No","Multiple - Non-Hispanic",1.6,58.97,NA,NA,"I did not drive the past 30 days",NA,"Yes","No","No","0 days","6 to 9 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","4 or more times per day",NA,NA,"3 days","5 or more hours per day","5 or more hours per day",NA,"No","5 hours",NA,NA,NA
"16 years old","Male","9th grade","Yes","Multiple - Hispanic / Latino",NA,NA,"Never wore a helmet","Never","All 30 days","12 or more times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","1 time per day","Did not drink soda or pop","4 or more glasses per day","7 days","7 days","Less than 1 hour per day","No playing video/computer game","3 or more teams","No","7 hours","1 to 3 times","4 or more times per day","0 times"
"17 years old","Female","12th grade","No","White",1.63,67.13,"Never wore a helmet","Always","1 or 2 days","0 times","Yes","Yes","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 time per day","1 to 3 times","1 to 3 times","1 glass per day","7 days","7 days","Less than 1 hour per day","No playing video/computer game","2 teams","No","7 hours","4 to 6 times","4 or more times per day","3 times"
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.6,63.5,"Never wore a helmet","Most of the time","0 days","0 times","No","No","No","0 days","0 days",NA,"Slightly overweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","Did not drink soda or pop","Did not drink milk","2 days","0 days","5 or more hours per day","Less than 1 hour per day","0 teams","No","5 hours","Did not drink sports drink","4 or more times per day","4 times"
"18 years old or older","Female","12th grade","Yes","Hispanic/Latino",1.5,49.9,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","6 to 9 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","4 to 6 times","4 to 6 times","1 glass per day","7 days","3 days","3 hours per day","5 or more hours per day","0 teams","No","8 hours","1 to 3 times","2 times per day","1 times"
"17 years old","Female","12th grade","No","Black or African American",1.6,61.24,NA,"Most of the time","1 or 2 days",NA,"No","No","No","0 days","0 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18 years old or older","Male","11th grade","No","Asian",1.63,52.16,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","7 days","7 days","2 hours per day","2 hours per day","3 or more teams","No","8 hours","1 to 3 times","4 to 6 times","0 times"
"14 years old","Male","9th grade","Yes","Multiple - Hispanic / Latino",1.78,66.68,"Never wore a helmet","Sometimes","0 days","2 or 3 times","No","No","No","0 days","6 to 9 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","4 or more times per day","4 to 6 times","4 to 6 glasses","7 days","7 days","2 hours per day","5 or more hours per day","1 team","Yes","8 hours","1 time per day","1 to 3 times","0 times"
"14 years old","Male","9th grade","No","White",1.75,59.88,NA,NA,"0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","4 or more times per day","1 to 3 times","1 time per day",NA,NA,"7 days","2 hours per day","3 hours per day",NA,"Yes","4 or less hours",NA,NA,NA
"16 years old","Male","10th grade","Yes","Hispanic/Latino",1.7,75.75,"Never wore a helmet","Most of the time","0 days","4 or 5 times","No","No","Yes","0 days","3 to 5 days",NA,"Slightly overweight","1 to 3 times","Did not eat fruit","4 to 6 times","Did not drink soda or pop","1 glass per day","0 days","7 days","No TV on average school day","2 hours per day","2 teams","Yes","4 or less hours","2 times per day","4 or more times per day","0 times"
"15 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.68,58.97,NA,"Most of the time","I did not drive the past 30 days",NA,"Yes","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop",NA,"7 days","5 days","Less than 1 hour per day","3 hours per day",NA,NA,NA,NA,NA,NA
"18 years old or older","Female","12th grade","Yes","Multiple - Hispanic / Latino",NA,NA,"Sometimes wore a helmet","Most of the time","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 or more times per day","2 times per day","Did not eat green salad","1 to 3 times","4 to 6 glasses","6 days","1 day","No TV on average school day","Less than 1 hour per day","1 team","No","7 hours","1 to 3 times","4 or more times per day","0 times"
"15 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.7,68.04,"Did not ride a bicycle","Always","0 days","1 time","No","No","Yes","1 or 2 days","6 to 9 days","Heterosexual (straight)","Slightly overweight","2 times per day","3 times per day","1 to 3 times","Did not drink soda or pop","1 to 3 glasses","0 days","3 days","1 hour per day","No playing video/computer game","0 teams","No","5 hours",NA,NA,NA
"15 years old","Male","9th grade","No","White",1.65,72.58,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","Did not eat green salad","1 to 3 times","1 glass per day","7 days","7 days","1 hour per day","Less than 1 hour per day","3 or more teams","No","9 hours","4 to 6 times","3 times per day","3 times"
"15 years old","Female","9th grade","No","White",1.75,68.04,"Never wore a helmet","Always","0 days","0 times","Yes","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","4 or more glasses per day","7 days","7 days","1 hour per day","No playing video/computer game","3 or more teams","No","9 hours","1 to 3 times","4 or more times per day","5 or more times"
"18 years old or older","Female","12th grade","No","Asian",1.6,66.23,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Not sure","Slightly overweight","Did not drink fruit juice","4 to 6 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","3 days","0 days","2 hours per day","4 hours per day","0 teams","No","7 hours","1 to 3 times","2 times per day","0 times"
"18 years old or older","Male","12th grade","No","White",1.83,72.58,"Never wore a helmet","Most of the time","0 days","0 times","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","1 to 3 times","1 glass per day","1 day","7 days","Less than 1 hour per day","1 hour per day","2 teams","No","7 hours","1 to 3 times","4 or more times per day","4 times"
"18 years old or older","Female","12th grade","No","Multiple - Non-Hispanic",1.57,65.77,NA,NA,"3 to 5 days",NA,"No","No","Yes","0 days","0 days","Not sure","Slightly underweight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop",NA,NA,"3 days","No TV on average school day","No playing video/computer game",NA,"No","6 hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.8,99.79,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times","2 glasses per day","1 day","5 days","No TV on average school day","5 or more hours per day","0 teams","No","5 hours","Did not drink sports drink","4 to 6 times","0 times"
"17 years old","Male","11th grade","No","Black or African American",1.7,84.37,"Never wore a helmet","Never","I did not drive the past 30 days","6 or 7 times","No","No","Yes","3 to 5 days","0 days","Heterosexual (straight)","Slightly underweight","4 to 6 times","1 time per day","2 times per day","1 time per day","Did not drink milk","1 day","0 days","Less than 1 hour per day","No playing video/computer game","0 teams","Not sure","4 or less hours",NA,NA,NA
"14 years old","Female","9th grade","No","Black or African American",1.5,41.73,"Did not ride a bicycle","Always",NA,"0 times","No","No","No","0 days","0 days","bisexual","About the right weight","3 times per day","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","1 day","5 days","No TV on average school day","1 hour per day","2 teams","No","6 hours",NA,NA,NA
"16 years old","Male","10th grade","No","Black or African American",NA,NA,NA,"Always","0 days",NA,"No","No","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop",NA,"4 days","0 days","No TV on average school day","2 hours per day",NA,NA,NA,NA,NA,NA
"17 years old","Male","11th grade","No","White",1.85,113.4,"Did not ride a bicycle","Always","I did not drive the past 30 days","1 time","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","Did not eat fruit","Did not eat green salad","1 to 3 times","4 to 6 glasses","7 days","3 days","5 or more hours per day","5 or more hours per day","0 teams","Yes","8 hours","Did not drink sports drink","4 or more times per day","3 times"
"16 years old","Male","11th grade","No","White",1.78,69.4,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","1 to 3 times","4 to 6 times",NA,NA,"2 days","Less than 1 hour per day","2 hours per day",NA,"No","8 hours",NA,NA,NA
"16 years old","Male","10th grade","No","Black or African American",1.65,99.34,NA,"Most of the time","0 days",NA,"No","No","No","0 days","0 days",NA,"Slightly overweight","1 to 3 times","4 to 6 times","Did not eat green salad","Did not drink soda or pop","1 glass per day","7 days","7 days","3 hours per day",NA,"2 teams","Yes",NA,"1 to 3 times","3 times per day","0 times"
"17 years old","Male","11th grade","No","Asian",1.68,86.18,"Did not ride a bicycle",NA,"0 days","10 or 11 times",NA,NA,"Yes","1 or 2 days","All 30 days",NA,"Slightly overweight","4 or more times per day","3 times per day","4 to 6 times","1 time per day","4 to 6 glasses","2 days","2 days","1 hour per day","4 hours per day",NA,"Yes","6 hours",NA,NA,NA
"15 years old","Female","10th grade","No","Black or African American",1.6,56.7,"Sometimes wore a helmet","Sometimes","0 days","0 times","Yes","Yes","Yes","0 days","0 days","bisexual","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","0 days","No TV on average school day","No playing video/computer game","0 teams","No","5 hours",NA,NA,NA
"16 years old","Male","10th grade","No","Multiple - Non-Hispanic",1.83,69.85,NA,"Always","1 or 2 days",NA,NA,"No","Yes",NA,"1 or 2 days","Heterosexual (straight)","Very underweight","1 time per day","Did not eat fruit","Did not eat green salad","2 times per day",NA,"3 days","0 days","5 or more hours per day","5 or more hours per day",NA,NA,NA,NA,NA,NA
"16 years old","Male","11th grade","No","White",NA,NA,"Most of the time wore a helmet","Always","1 or 2 days","0 times","Yes","Yes","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","Did not drink soda or pop","Did not drink milk","0 days","0 days","No TV on average school day","No playing video/computer game","0 teams","No","8 hours","Did not drink sports drink","Did not drink water","0 times"
"16 years old","Female","11th grade","Yes","Hispanic/Latino",NA,NA,"Never wore a helmet","Never","0 days","1 time","No","No","No","0 days","0 days","Heterosexual (straight)","Very underweight","2 times per day","1 to 3 times","Did not eat green salad","4 to 6 times","Did not drink milk","0 days",NA,NA,NA,NA,NA,"8 hours",NA,NA,NA
"17 years old","Female","11th grade","No","Black or African American",1.5,83.92,"Did not ride a bicycle","Sometimes","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","7 days","3 days","3 hours per day","2 hours per day","1 team","No","9 hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Female","11th grade","No",NA,1.55,52.62,"Sometimes wore a helmet","Always","I did not drive the past 30 days","1 time","Yes","Yes","Yes","0 days","0 days","bisexual","About the right weight","1 to 3 times","2 times per day","1 to 3 times","1 to 3 times","4 to 6 glasses","4 days","2 days","1 hour per day","4 hours per day","0 teams",NA,"8 hours",NA,NA,NA
"16 years old","Male","10th grade","Yes","Multiple - Hispanic / Latino",1.78,74.84,"Did not ride a bicycle","Always","20 to 29 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","4 to 6 times","4 to 6 times","4 or more glasses per day","5 days","7 days","3 hours per day","5 or more hours per day","3 or more teams","No","7 hours","4 to 6 times","4 or more times per day","0 times"
"18 years old or older","Female","12th grade","No","White",1.55,47.63,"Rarely wore a helmet","Most of the time","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Very underweight","4 to 6 times","4 to 6 times","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","6 days","0 days","Less than 1 hour per day","5 or more hours per day","1 team","No","8 hours","Did not drink sports drink","2 times per day","1 times"
"15 years old","Male","9th grade","No","White",1.63,70.31,"Always wore a helmet","Always",NA,"0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 or more times per day","1 time per day","1 time per day","1 time per day","1 glass per day","7 days","5 days","Less than 1 hour per day","2 hours per day","3 or more teams","Yes","7 hours","1 time per day","4 or more times per day","2 times"
"16 years old","Male","11th grade","No","Black or African American",1.75,58.97,"Never wore a helmet","Always","I did not drive the past 30 days","2 or 3 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","3 days","3 days","Less than 1 hour per day","No playing video/computer game","0 teams",NA,"7 hours",NA,NA,NA
"17 years old","Female","12th grade","No","White",1.63,86.18,"Never wore a helmet","Most of the time","All 30 days","0 times","No","No","Yes","All 30 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","1 time per day","Did not eat fruit","Did not eat green salad","3 times per day","Did not drink milk","3 days","0 days","1 hour per day","5 or more hours per day","0 teams","No","5 hours","Did not drink sports drink","Did not drink water","3 times"
"17 years old","Female","12th grade","No","White",1.73,61.24,"Never wore a helmet","Most of the time","All 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","7 days","6 days","Less than 1 hour per day","5 or more hours per day","3 or more teams","No","8 hours","1 to 3 times","4 to 6 times","3 times"
