"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"17 years old","Male","11th grade","Yes","Multiple - Hispanic / Latino",1.73,53.52,"Never wore a helmet","Always","0 days","1 time","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 to 3 times","Did not eat green salad",NA,"4 to 6 glasses","6 days","3 days","2 hours per day","4 hours per day","0 teams","No","6 hours","1 to 3 times","4 or more times per day",NA
"16 years old","Female","11th grade","No","White",1.57,54.43,"Sometimes wore a helmet","Always","20 to 29 days","0 times","No","No","No","0 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","2 times per day","2 times per day","4 to 6 times","Did not drink soda or pop","4 to 6 glasses","3 days","3 days","Less than 1 hour per day","3 hours per day","0 teams","No","5 hours","Did not drink sports drink","3 times per day","5 or more times"
"15 years old","Female","10th grade","No","White",1.55,56.7,NA,"Most of the time","0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","4 to 6 times","1 to 3 times",NA,"2 days","3 days","1 hour per day","Less than 1 hour per day",NA,NA,NA,NA,NA,NA
"15 years old","Male","9th grade","No","Multiple - Non-Hispanic",1.65,63.5,"Never wore a helmet","Most of the time","0 days","0 times","No","No","No","0 days","3 to 5 days","Heterosexual (straight)","About the right weight","2 times per day","1 time per day","1 to 3 times","Did not drink soda or pop","1 to 3 glasses","7 days","7 days","Less than 1 hour per day","1 hour per day","3 or more teams","No","8 hours","1 to 3 times","4 or more times per day","0 times"
"14 years old","Female","9th grade","No","Black or African American",1.73,54.43,"Never wore a helmet","Always","I did not drive the past 30 days","1 time","Yes","No","Yes","1 or 2 days","0 days","bisexual","About the right weight","1 to 3 times","3 times per day","1 to 3 times","4 or more times per day","3 glasses per day","7 days","0 days","5 or more hours per day","No playing video/computer game","0 teams","Yes","9 hours","2 times per day","3 times per day","0 times"
"16 years old","Female","10th grade","No","White",1.57,57.61,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","Yes","Yes","No","3 to 5 days","0 days","Not sure","About the right weight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times","1 glass per day","2 days","7 days","No TV on average school day","No playing video/computer game","3 or more teams","No","4 or less hours","1 to 3 times","1 time per day","4 times"
"15 years old","Male","9th grade","No","White",1.68,58.97,NA,"Always","0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times",NA,"7 days","7 days","1 hour per day","Less than 1 hour per day",NA,NA,NA,NA,NA,NA
"16 years old","Female","10th grade","No","Black or African American",1.63,71.67,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","2 or 3 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Very overweight","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 glasses","0 days","0 days","Less than 1 hour per day","5 or more hours per day","0 teams","Not sure","5 hours","Did not drink sports drink","2 times per day","0 times"
"14 years old","Female","9th grade","No","Black or African American",1.63,44.45,"Never wore a helmet","Most of the time","0 days","1 time","No","Yes","Yes","0 days","1 or 2 days","bisexual","Very underweight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 glass per day","7 days","3 days","No TV on average school day","4 hours per day","1 team","No","6 hours","2 times per day","4 to 6 times","0 times"
"16 years old","Female","10th grade","No","White",1.55,87.54,NA,"Always","0 days","0 times","Yes","Yes","Yes","0 days","0 days","bisexual","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","4 to 6 times","1 to 3 glasses","3 days","5 days","4 hours per day","No playing video/computer game","0 teams","No","5 hours","1 to 3 times","4 to 6 times","1 times"
"16 years old","Female","11th grade","No","White",1.63,56.7,NA,NA,"0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","2 times per day","Did not eat green salad","1 to 3 times",NA,NA,"3 days","2 hours per day","3 hours per day",NA,"No","8 hours",NA,NA,NA
"15 years old","Female","9th grade","No","White",1.57,56.25,"Rarely wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","1 time per day","1 to 3 times","1 to 3 times","1 glass per day","0 days","3 days","Less than 1 hour per day","3 hours per day","0 teams","No","8 hours","Did not drink sports drink","1 time per day","3 times"
"16 years old","Female","10th grade","No","White",1.63,52.16,"Never wore a helmet","Most of the time","0 days","2 or 3 times","No","Yes","Yes","6 to 9 days","10 to 19 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 time per day","Did not eat green salad","1 time per day","1 glass per day","5 days","6 days",NA,NA,NA,NA,NA,"1 to 3 times","4 or more times per day",NA
"16 years old","Male","9th grade","Yes","Hispanic/Latino",1.85,108.86,"Never wore a helmet","Sometimes","0 days","1 time","No","No","No","1 or 2 days","All 30 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","4 to 6 times","1 time per day","1 time per day","Did not drink milk","4 days","7 days","No TV on average school day","1 hour per day","0 teams","Yes","6 hours","2 times per day","4 or more times per day","0 times"
"18 years old or older","Male","12th grade","No","White",1.83,75.3,"Did not ride a bicycle","Sometimes","All 30 days","8 or 9 times","Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","7 days","7 days","Less than 1 hour per day","1 hour per day","1 team","No","5 hours","4 to 6 times","4 to 6 times","4 times"
"14 years old","Male","9th grade","Yes","Hispanic/Latino",1.7,61.24,"Did not ride a bicycle","Most of the time","1 or 2 days","1 time","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","3 days","5 days","2 hours per day","5 or more hours per day","1 team","No","7 hours",NA,NA,NA
"17 years old","Female","12th grade","No","Multiple - Non-Hispanic",1.6,72.58,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","4 to 6 glasses","4 days","2 days","3 hours per day","No playing video/computer game","0 teams","No","6 hours","Did not drink sports drink","4 to 6 times","4 times"
