"caseid","V1","V2","V3","V4","V5","V6","V7"
"20160201160060","33","01","No answer","01","450","0","565"
"20160807162196","42","01","Full time","01","685","0","300"
"20160302162459","66","02","No answer","02","840","0","540"
"20161110162309","49","02","Full time","01","510","0","15"
"20160707161097","35","01","Full time","01","500","0","65"
"20160111150987","28","02","Full time","01","565","0","120"
"20160301160886","16","02","Part time","01","665","180","405"
"20160201162195","27","02","Part time","01","550","0","120"
"20160201160786","59","02","Full time","01","615","0","180"
"20160504160958","32","02","Full time","01","490","0","60"
"20161211162346","30","01","Full time","01","510","0","35"
"20160707161767","59","02","No answer","01","510","0","210"
"20160505160866","37","01","Full time","01","461","0","225"
"20161109161245","18","02","No answer","01","850","120","60"
"20160807162308","63","01","Full time","01","648","0","570"
"20160706162236","62","02","No answer","01","580","0","573"
"20160202161254","72","02","No answer","01","470","0","604"
"20161010161659","16","01","No answer","01","900","0","505"
"20160201161894","62","01","Full time","01","445","0","73"
"20160402161986","43","02","Full time","01","442","0","230"
"20160403160906","49","02","Full time","01","460","0","120"
"20160302161774","85","01","No answer","02","615","0","450"
"20160302160794","80","02","No answer","01","540","0","260"
"20160806162424","61","02","No answer","02","270","0","390"
"20160101161638","61","02","Full time","02","765","0","360"
"20160201160606","85","01","No answer","02","632","0","738"
"20160112151215","32","01","Full time","01","620","0","85"
"20161010161884","39","01","Full time","01","580","0","15"
"20160101160658","25","02","Part time","01","540","0","120"
"20161009162490","36","01","Full time","01","591","0","4"
"20160201160570","79","02","No answer","01","555","0","348"
"20160202161081","75","01","Part time","01","465","0","405"
"20160807162523","39","02","No answer","01","630","0","315"
"20160505161400","66","02","No answer","01","600","0","330"
"20161110161975","63","02","No answer","02","749","0","361"
"20160504161896","52","01","No answer","01","540","0","390"
"20160705160531","31","02","Full time","01","300","0","286"
"20160403162475","17","02","No answer","01","720","0","629"
"20160302161761","33","02","Full time","01","693","0","90"
"20160706161802","58","02","No answer","01","450","0","555"
"20160403161711","15","01","No answer","01","515","0","115"
"20160302160106","62","02","Part time","01","735","0","215"
"20160202160920","85","02","No answer","02","720","0","565"
"20160403162068","52","01","Full time","02","705","0","270"
"20160112152352","29","02","No answer","02","510","0","375"
"20160201160954","47","02","Part time","01","1067","0","360"
"20160201161992","25","01","No answer","01","528","0","625"
"20160201162276","64","01","Part time","01","720","0","486"
"20160807161060","54","01","No answer","01","475","0","580"
"20160706161446","34","01","Full time","01","555","0","465"
"20160807162122","79","02","No answer","01","540","0","450"
"20160605160131","76","02","No answer","01","420","0","425"
"20161211161900","65","02","No answer","02","590","0","595"
"20161211160036","69","01","No answer","01","600","0","378"
"20160112152094","64","01","Full time","01","465","0","245"
"20160706161192","45","02","Full time","01","470","0","107"
"20160504161497","35","01","Full time","01","393","0","274"
"20160808160520","68","01","No answer","01","450","0","335"
"20160201161024","69","02","No answer","02","540","0","705"
"20160807161147","76","02","No answer","01","585","0","635"
"20160504161300","55","02","No answer","02","505","0","755"
"20160908161253","74","02","No answer","02","878","0","198"
"20160605160725","36","01","Full time","01","535","0","160"
"20160605162270","40","02","Full time","01","495","0","145"
"20160201161262","55","01","Full time","01","570","0","570"
"20160807161624","39","02","Full time","01","559","0","70"
"20161008162087","51","01","Full time","01","540","0","120"
"20160112151787","42","01","Full time","01","480","0","0"
"20160807160707","36","02","Full time","01","480","0","50"
"20160504160874","33","02","Part time","01","445","0","80"
"20160201161776","65","01","No answer","01","300","0","1112"
"20161211162052","53","02","No answer","01","445","0","375"
"20160706160008","80","01","No answer","01","417","0","955"
"20160605160516","78","01","No answer","01","540","0","450"
"20160112152465","43","02","Full time","01","720","0","437"
"20160504160521","58","02","Full time","01","630","0","239"
"20160706161190","28","02","Full time","01","620","0","330"
"20160302161430","60","02","No answer","02","345","0","225"
"20160301160579","71","01","No answer","01","390","0","120"
"20160606160662","31","01","Full time","01","450","0","120"
"20161110161746","49","02","Part time","01","495","0","231"
"20160707161557","58","02","No answer","01","480","0","374"
"20161009162366","35","02","Full time","01","433","0","225"
"20160201162160","80","01","No answer","01","240","0","720"
"20160403161095","51","02","Full time","01","546","0","30"
"20161009160148","71","02","No answer","02","480","0","240"
"20161009161369","59","01","Full time","01","520","0","90"
"20160605162397","53","01","Full time","01","540","0","400"
"20160605160552","59","02","Part time","01","495","0","67"
"20161009162232","61","02","No answer","02","796","0","540"
"20161009160109","85","01","No answer","02","525","0","175"
"20160403160949","77","01","No answer","01","435","0","300"
"20160808160754","85","01","No answer","01","705","0","240"
"20161008160660","55","01","No answer","01","660","0","705"
"20161009160856","25","02","Part time","01","480","0","810"
"20160706162104","58","01","No answer","02","630","0","380"
"20160403160525","40","02","Part time","01","557","0","0"
"20160302160849","77","01","No answer","01","760","0","610"
"20160112152349","34","02","Full time","01","439","0","150"
"20160111152341","18","01","Part time","01","640","0","360"
"20160201160743","71","02","No answer","01","510","0","725"
"20160403160840","33","02","Full time","01","607","0","285"
"20160605160765","53","02","Full time","01","470","0","0"
"20160604160649","45","01","Full time","01","460","0","96"
"20161009162201","80","02","No answer","02","675","0","360"
"20161009161024","59","02","Full time","01","485","0","243"
"20161010161698","44","02","Part time","01","585","0","380"
"20160403160541","16","02","No answer","01","420","0","230"
"20161010161360","74","02","No answer","01","570","0","345"
"20160403160897","30","02","Full time","01","485","0","200"
"20160404161684","43","02","Part time","01","615","0","121"
"20161009160550","37","02","Full time","01","470","0","70"
"20161109161847","38","02","Part time","01","420","0","270"
"20161008160872","48","02","No answer","02","760","0","330"
"20160504161323","56","02","No answer","02","735","0","0"
"20160504161557","49","01","Full time","01","780","0","185"
"20160908161835","31","02","Full time","01","435","0","15"
"20160807161063","71","02","No answer","01","554","0","280"
"20160606161072","34","01","Full time","01","450","0","355"
"20160706161342","65","02","No answer","02","510","0","30"
"20161010162304","73","01","No answer","01","620","0","305"
"20160808161323","71","01","Full time","01","465","0","420"
"20160605160517","28","01","Full time","01","452","0","238"
"20160302160949","60","02","Full time","01","585","0","400"
"20161110161251","31","02","Part time","01","510","0","0"
"20160403161288","85","02","No answer","02","630","0","440"
"20160202162198","70","01","No answer","02","570","0","320"
"20161009161126","76","02","No answer","02","540","0","580"
"20160706160989","31","02","Full time","01","620","0","530"
"20161110160905","34","02","Full time","01","480","75","0"
"20161009162410","42","02","Full time","01","460","0","330"
"20160112150814","66","02","No answer","01","390","0","254"
"20160403161935","38","02","Full time","01","415","0","55"
"20161111160971","66","02","No answer","01","360","0","815"
"20161110160840","60","01","Full time","01","510","0","720"
"20160112151124","32","01","Full time","01","420","0","487"
"20161211161299","16","02","No answer","01","525","210","210"
"20160806161548","50","02","Full time","01","305","0","60"
"20161009161734","74","01","No answer","01","720","0","480"
"20160112151504","43","01","Full time","01","510","0","330"
"20161210162284","67","01","No answer","01","600","0","715"
"20160111151601","61","01","No answer","02","420","0","495"
"20161009160638","46","01","No answer","01","570","0","390"
"20161009161970","30","02","Part time","01","405","0","499"
"20160504161631","71","02","No answer","01","295","0","375"
"20161211161085","85","01","No answer","01","765","0","485"
"20160302162301","18","01","No answer","01","720","0","395"
"20161009162163","52","02","Full time","01","717","0","499"
"20161211161953","27","02","Part time","01","660","0","643"
"20160505161277","43","02","Part time","01","480","0","530"
"20160908160672","23","02","Full time","01","750","0","445"
"20161010161149","74","02","No answer","01","528","0","462"
"20160201161443","30","02","No answer","01","870","0","252"
"20160707161213","21","02","Part time","01","420","0","160"
"20160202160799","34","02","No answer","01","580","0","240"
"20161210160702","50","02","Part time","01","565","0","167"
"20161110162092","34","02","Part time","01","488","0","165"
